VTM_NM|year
Telmisartan + Hydrochlorothiazide|2016
Temazepam|2016
Tenoxicam|2016
Terazosin|2016
Terbinafine|2016
Terbutaline|2016
Terlipressin|2016
Testosterone|2016
Testosterone enantate|2016
Testosterone undecanoate|2016
Tetrabenazine|2016
Tetracaine|2016
Tetracosactide|2016
Tetracycline|2016
Theophylline|2016
Thiamine|2016
Tiagabine|2016
Tiaprofenic acid|2016
Tibolone|2016
Ticagrelor|2016
Tilactase|2016
Timolol|2016
Timolol + Bendroflumethiazide|2016
Timolol + Travoprost|2016
Tinidazole|2016
Tinzaparin|2016
Tioconazole|2016
Tiotropium|2016
Tiotropium + Olodaterol|2016
Tizanidine|2016
Tobramycin|2016
Tocilizumab|2016
Tolbutamide|2016
Tolcapone|2016
Tolfenamic acid|2016
Tolnaftate|2016
Tolnaftate + Benzalkonium|2016
Tolterodine|2016
Tolvaptan|2016
Topiramate|2016
Torasemide|2016
Toremifene|2016
Tramadol|2016
Tramadol + Paracetamol|2016
Trandolapril|2016
Tranexamic acid|2016
Tranylcypromine|2016
Travoprost|2016
Trazodone|2016
Tretinoin|2016
Triamcinolone + Chlortetracycline|2016
Triamcinolone acetonide|2016
Triamterene|2016
Triamterene + Chlortalidone|2016
Triamterene + Furosemide|2016
Triclosan|2016
Trifluoperazine|2016
Trihexyphenidyl|2016
Trimethoprim|2016
Trimipramine|2016
Tripotassium dicitratobismuthate|2016
Triptorelin|2016
Tropicamide|2016
Trospium|2016
Tryptophan|2016
Typhoid vaccine|2016
Ubidecarenone|2016
Ulipristal|2016
Umeclidinium bromide|2016
Umeclidinium bromide + Vilanterol|2016
Urea|2016
Urea + Lactic acid|2016
Urea + Lauromacrogols|2016
Urea [13-C]|2016
Urea hydrogen peroxide|2016
Ursodeoxycholic acid|2016
Valaciclovir|2016
Valerian|2016
Valganciclovir|2016
Valproic acid|2016
Valsartan|2016
Valsartan + Hydrochlorothiazide|2016
Vancomycin|2016
Vardenafil|2016
Varenicline|2016
Varicella vaccine|2016
Venlafaxine|2016
Verapamil|2016
Vigabatrin|2016
Vildagliptin|2016
Vildagliptin + Metformin|2016
Voriconazole|2016
Vortioxetine|2016
Warfarin|2016
Water|2016
White soft paraffin|2016
White soft paraffin + Liquid paraffin|2016
Wool fat|2016
Xipamide|2016
Xylometazoline|2016
Yellow soft paraffin|2016
Zafirlukast|2016
Zaleplon|2016
Zanamivir|2016
Zidovudine|2016
Zidovudine + Lamivudine|2016
Zinc oxide|2016
Zinc oxide + Cod liver oil|2016
Zinc oxide + Dimeticone|2016
Zinc oxide + Lidocaine|2016
Zinc sulphate|2016
Zinc undecenoate + Undecenoic acid|2016
Zoledronic acid|2016
Zolmitriptan|2016
Zolpidem|2016
Zonisamide|2016
Zopiclone|2016
Zuclopenthixol|2016
Zuclopenthixol acetate|2016
Zuclopenthixol decanoate|2016
