VTM_NM|year
Tolcapone|2018
Tolfenamic acid|2018
Tolnaftate|2018
Tolterodine|2018
Tolvaptan|2018
Topiramate|2018
Torasemide|2018
Toremifene|2018
Tramadol|2018
Tramadol + Paracetamol|2018
Trandolapril|2018
Tranexamic acid|2018
Tranylcypromine|2018
Travoprost|2018
Travoprost + Timolol|2018
Trazodone|2018
Tretinoin|2018
Tretinoin + Erythromycin|2018
Triamcinolone acetonide|2018
Triamterene|2018
Triamterene + Chlortalidone|2018
Triamterene + Furosemide|2018
Triclosan|2018
Trifluoperazine|2018
Trihexyphenidyl|2018
Trimethoprim|2018
Trimipramine|2018
Triptorelin|2018
Tropicamide|2018
Trospium|2018
Tryptophan|2018
Typhoid vaccine|2018
Ubidecarenone|2018
Ubidecarenone + Alpha tocopherol|2018
Ulipristal|2018
Umeclidinium bromide|2018
Umeclidinium bromide + Vilanterol|2018
Urea|2018
Urea + Lactic acid|2018
Urea + Lauromacrogols|2018
Urea [13-C]|2018
Urea hydrogen peroxide|2018
Ursodeoxycholic acid|2018
Valaciclovir|2018
Valerian|2018
Valganciclovir|2018
Valproic acid|2018
Valsartan|2018
Valsartan + Hydrochlorothiazide|2018
Vancomycin|2018
Vardenafil|2018
Varenicline|2018
Varicella vaccine|2018
Venlafaxine|2018
Verapamil|2018
Vigabatrin|2018
Vildagliptin|2018
Vildagliptin + Metformin|2018
Voriconazole|2018
Vortioxetine|2018
Warfarin|2018
Water|2018
Wheat dextrin|2018
White soft paraffin|2018
White soft paraffin + Liquid paraffin|2018
Wool fat|2018
Xipamide|2018
Xylometazoline|2018
Yellow soft paraffin|2018
Zafirlukast|2018
Zanamivir|2018
Zidovudine|2018
Zidovudine + Lamivudine|2018
Zinc acetate|2018
Zinc citrate|2018
Zinc oxide|2018
Zinc oxide + Dimeticone|2018
Zinc oxide + Lidocaine|2018
Zinc sulphate|2018
Zinc undecenoate + Undecenoic acid|2018
Zolmitriptan|2018
Zolpidem|2018
Zonisamide|2018
Zopiclone|2018
Zuclopenthixol|2018
Zuclopenthixol acetate|2018
Zuclopenthixol decanoate|2018
