PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
405,Drs McKeever &Flanigan,LOY MEDICAL CENTRE,8 LOY STREET,COOKSTOWN,BT80 8PE,Northern,5585
406,Dr Glancy & Partners,29 GARDEN STREET,MAGHERAFELT,CO LONDONDERRY,BT45 5DD,Northern,9127
407,Dr O'Kane & Partners,OAKS FAMILY PRACTICE CENTRE,48 ORRITOR ROAD,COOKSTOWN,BT80 8BH,Northern,7675
409,Drs McCoy & McCammon,THE HEALTH CENTRE,50 HILLHEAD,"STEWARTSTOWN, DUNGANNON",BT71 5HY,Northern,5544
410,Dr Overend & Partners,MAGHERA MEDICAL CENTRE,25 CHURCH STREET,MAGHERA,BT46 5EA,Northern,8346
412,Drs Ramsey & Johnston,THE DIAMOND MEDICAL CENTRE,MARKET SQUARE,MAGHERAFELT,BT45 6ED,Northern,9068
413,Dr R Graham,LOY BUILDINGS,18 LOY STREET,COOKSTOWN,BT80 8PE,Northern,2410
417,Dr Barker & Partners,THE SURGERY,STATION ROAD,"CASTLEDAWSON, MAGHERAFELT",BT45 8AZ,Northern,6882
419,Dr M A Charlton,FAIR HILL HEALTH CENTRE,MAGHERAFELT,CO LONDONDERRY,BT45 6BL,Northern,1763
420,Drs Miller & Kuriacose,MONEYMORE  MEDICAL PRACTICE,3 FAIRHILL,MONEYMORE,BT45 7LJ,Northern,5713
431,DR. CROSBIE AND PARTNERS,WHITEHOUSE MEDICAL GROUP PRACTICE,"UNIT 29A, FIRST FLOOR, ABBEYCENTRE","LONGWOOD ROAD, NEWTOWNABBEY",BT37 9UH,Northern,9222
433,Dr Rafferty & Partners,THE HEALTH CENTRE,GEORGE AVENUE,BALLYCLARE,BT39 9HL,Northern,15041
434,Dr Farrell & Partners,ABBOTS CROSS MEDICAL PRACTICE,92 DOAGH ROAD,NEWTOWNABBEY,BT37 9QW,Northern,7960
438,Dr Neary & Partners,TRAMWAYS MEDICAL CENTRE,FARMLEY ROAD,NEWTOWNABBEY,BT36 7XX,Northern,10460
440,DR. A.J. DARRAH AND PARTNERS,NOTTING HILL MEDICAL PRACTICE,DOAGH ROAD,NEWTOWNABBEY,BT37 9QN,Northern,10250
451,Dr. CLARKE & PARTNERS               ,BROWNLOW HEALTH CENTRE,1 LEGAHORY CENTRE,"LEGAHORY, CRAIGAVON",BT65 5BE,Southern,5886
453,Dr. MCCLOSKEY & PARTNERS            ,BANBRIDGE GROUP SURGERY,1 OLD HOSPITAL ROAD,BANBRIDGE,BT32 3GN,Southern,4016
454,Dr Cupples & Partners,THE SURGERY,11 MAIN STREET,"LOUGHBRICKLAND, BANBRIDGE",BT32 3NQ,Southern,8734
455,Dr Logan & Partners,THE HEALTH CENTRE,CASTLEVIEW,"GILFORD, CRAIGAVON",BT63 6JS,Southern,5392
457,Dr Rice & Partners,WYNNE HILL SURGERY,51 HILL STREET,"LURGAN, CRAIGAVON",BT66 6BW,Southern,11786
458,Drs Gray & Troughton,THE HEALTH CENTRE,TAVANAGH AVENUE,PORTADOWN,BT62 3BU,Southern,5081
460,Dr. LENNON & PARTNER                ,60A MAIN STREET,DONAGHCLONEY,CRAIGAVON,BT66 7LR,Southern,4343
461,Drs McAuley & Moore,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,3553
462,Dr Davidson & Partners,60 HIGH STREET,LURGAN,CRAIGAVON,BT66 8BA,Southern,9545
463,Dr Wilson & Partners,THE SURGERY,7 MOORES LANE,"LURGAN, CRAIGAVON",BT66 8DW,Southern,4756
464,Drs McAnallen & McAnallen,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,4986
465,Dr Wilson & Partners,28 CHURCH WALK,LURGAN,CRAIGAVON,BT67 9AA,Southern,8300
467,Drs Southwell & Zubier,87/89 WILLIAM STREET,LURGAN,CRAIGAVON,BT66 6JB,Southern,5382
469,Dr. MALLON & PARTNERS               ,BANBRIDGE GROUP SURGERY,1 OLD HOSPITAL ROAD,BANBRIDGE,BT32 3GN,Southern,8582
470,Dr Adams & Partners,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,13648
471,Dr Connolly & Partners,BANBRIDGE GROUP SURGERY,1 OLD HOSPITAL ROAD,BANBRIDGE,BT32 3GN,Southern,7733
472,Drs Murray & Mullan,SCARVA STREET SURGERY,60 SCARVA STREET,"LOUGHBRICKLAND, BANBRIDGE",BT32 3NH,Southern,2939
473,Dr Davis & Partners,52 MAIN STREET,MOIRA,CRAIGAVON,BT67 0LQ,South Eastern,9294
474,Dr McNeice & Partners,50 GALLOWS STREET,DROMORE,CO DOWN,BT25 1BD,Southern,7821
475,Dr Wilson & Partners,8a LURGAN ROAD,AGHALEE,CRAIGAVON,BT67 0DD,South Eastern,5171
476,Dr J A J Chestnutt,THE SURGERY,32 STATION ROAD,"BALLYWARD, CASTLEWELLAN",BT31 9TU,Southern,2423
477,Dr McConnell & Partners,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,4929
478,Dr Good & Partners,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,5085
479,Dr Burnett & Partners,THE HEALTH CENTRE,TAVANAGH AVENUE,"PORTADOWN, CRAIGAVON",BT62 3BU,Southern,8272
482,Drs Gormley & McCloskey,THE OLD SCHOOL HOUSE MEDICAL CENTRE,1 ANTRIM ROAD,"LURGAN, CRAIGAVON",BT67 9BW,Southern,4606
491,Dr Beckett & Partners,ABBEY COURT SURGERY,DOBBIN LANE,ARMAGH,BT61 7QG,Southern,7799
493,Dr. CHURCH & PARTNERS               ,NORTHLAND SURGERY,79 CUNNINGHAMS LANE,DUNGANNON,BT71 6BX,Southern,8768
494,Dr Boyd & Partners,THE VALLEY MEDICAL PRACTICE,20 COONEEN ROAD,FIVEMILETOWN,BT75 0ND,Southern,4342
495,Dr Ahmed & Partners,CAMPBELL SURGERY,10 QUARRY LANE,DUNGANNON,BT70 1HX,Southern,9832
497,DR. MS CHAMBERS AND PARTNERS,WILLOWBANK,KEADY,CO ARMAGH,BT60 3RL,Southern,9226
498,DR. LA HOBSON AND PARTNER,MCSHANE AND CAMPBELL PRACTICE,"MOY HEALTH CENTRE, CHARLEMONT STREET",MOY,BT71 7SL,Southern,3681
499,Drs Nugent & Irvine,ERRIGAL MEDICAL CENTRE,OLD DUNGANNON ROAD,"BALLYGAWLEY,DUNGANNON",BT70 2EY,Southern,3753
500,Dr. HERRON & PARTNER                ,22 BARRACK STREET,COALISLAND,DUNGANNON,BT71 4LS,Southern,2247
501,Dr McConville & Partners,MOY MEDICAL PRACTICE,CHARLEMONT STREET,MOY,BT71 7SL,Southern,2488
502,ers,15 DARTAN REE,TYNAN,ARMAGH,BT60 4QT,Southern,5507
503,Dr Wright & Partners,THE HEALTH CENTRE,NEWRY STREET,"MARKETHILL, ARMAGH",BT60 1TA,Southern,6089
504,Dr. MILLAR & PARTNERS               ,MOY MEDICAL CENTRE,CHARLEMONT STREET,"MOY, DUNGANNON",BT71 7SL,Southern,3575
505,Drs O'Loughlin & Partners,PARKVIEW SURGERY,"SOUTH TYRONE HOSPITAL SITE, CARLAND ROAD,",DUNGANNON,BT71 4AU,Southern,9322
506,Drs McCord & Gribben,2 SYDNEY LANE,AUGHNACLOY,CO TYRONE,BT69 6AF,Southern,4949
507,Dr B Watters,THE HEALTH CENTRE,24A TASSAGH ROAD,KEADY,BT60 3TU,Southern,2687
508,Drs Good & Good,TANDRAGEE MEDICAL CENTRE,3 MONTAGUE STREET,"TANDRAGEE, CRAIGAVON",BT62 2AN,Southern,3645
509,Dr McKay & Partners,57 THOMAS STREET,DUNGANNON,CO TYRONE,BT70 1HW,Southern,6078
512,Dr. O'DONNELL & PARTNERS            ,THE MEDICAL CENTRE,15 BARRACK STREET,"COALISLAND, DUNGANNON",BT71 4LS,Southern,4359
514,Dr Garvin & Partners,THE ARCHWAY SURGERY,DOBBIN LANE,ARMAGH,BT61 7QG,Southern,7902
515,Dr Turtle & Partners,THE HEALTH CENTRE,"6 GREENVIEW, MAYNOOTH ROAD","RICHHILL,  ARMAGH",BT61 9PD,Southern,5448
516,Dr. MCNALLY & PARTNERS              ,THE FRIARY SURGERY,DOBBIN LANE,ARMAGH,BT61 7QG,Southern,9082
517,Dr S R C Murty,39 THOMAS STREET,DUNGANNON,CO TYRONE,BT70 1HN,Southern,2297
519,Dr McKenna & Partners,THE SURGERY,10A LINESIDE,"COALISLAND, DUNGANNON",BT71 4LP,Southern,3946
526,Drs Henry & McAreavy,CORNMARKET SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,4977
528,Dr. FEE                             ,THE HEALTH CENTRE,MCCORMICK PLACE,"CROSSMAGLEN, NEWRY",BT35 9HD,Southern,4926
529,Dr Mackle & Partners,CORNMARKET SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,6481
530,Dr. O'SHAUGHNESSY & PARTNER         ,THE HEALTH CENTRE,JOHN STREET,"RATHFRILAND, NEWRY",BT34 5QH,Southern,2136
531,Drs Allen & Keown,14 KILKEEL ROAD,ANNALONG,NEWRY,BT34 4TH,Southern,4141
532,Dr Woods & Partners,KILKEEL PRIMARY CARE CENTRE,GREENCASTLE STREET,"KILKEEL, NEWRY",BT34 4BH,Southern,3855
533,Dr. VETTIANKAL                      ,6 DRUMINTEE ROAD,MEIGH,NEWRY,BT35 8SJ,Southern,2625
534,Dr Digney & Partners,CLANRYE SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,8805
535,Dr. WADE & PARTNERS                 ,THE HEALTH CENTRE,JOHN STREET,"RATHFRILAND, NEWRY",BT34 5QH,Southern,3648
536,DR. DH GAW AND PARTNERS,SUMMER HILL SURGERY,50 GREAT GEORGES STREET,"WARRENPOINT, NEWRY",BT34 3HS,Southern,8061
537,Dr McVerry & Partners,MCVERRY/MCEVOY MEDICAL CENTRE,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,9519
539,Drs McDowell & Forshaw,CLANRYE SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,4617
540,Dr O'Neill & Partners,MEADOWLANDS SURGERY,MONAGHAN STREET,NEWRY,BT35 6BW,Southern,7308
541,Dr. SLOAN & PARTNER                 ,RATHFRILAND SURGERY,9 CASTLEWELLAN ROAD,"RATHFRILAND, NEWRY",BT34 5LY,Southern,2689
542,Dr O'Leary & Partners,53 DUNDALK STREET,NEWTOWNHAMILTON,NEWRY,BT35 0PB,Southern,3773
543,Dr. MURPHY & PARTNERS               ,THE HEALTH CENTRE,SUMMERHILL,"WARRENPOINT, NEWRY",BT34 3JD,Southern,4546
544,Dr Reynolds & Partners,CORNMARKET SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,7135
545,Drs Maguire & Deane,MAPHONER SURGERY,2A FORKHILL ROAD,"MULLAGHBAWN, NEWRY",BT35 9RA,Southern,5077
546,Dr. MCKNIGHT & PARTNER              ,CLANRYE SURGERY,NEWRY HEALTH VILLAGE,"MONAGHAN STREET, NEWRY",BT35 6BW,Southern,2460
547,Drs Shannon & Shannon,THE HEALTH CENTRE,JOHN STREET,"RATHFRILAND, NEWRY",BT34 5QH,Southern,3048
549,DR. AO MULHOLLAND AND PARTNER,THE HEALTH CENTRE,2A MARKETHILL ROAD,"NEWTOWNHAMILTON, NEWRY",BT35 0BE,Southern,4305
551,Dr P M Fee,RATHKEELAND HOUSE,1 BLANEY ROAD,"CROSSMAGLEN, NEWRY",BT35 9JJ,Southern,3868
553,Dr M Bonner,MARINA SURGERY,15 HAVELOCK PLACE,"WARRENPOINT, NEWRY",BT34 3NE,Southern,2186
554,Drs Poots & O'Loughlin,MOURNE FAMILY SURGERY,"MOURNE HOSPITAL, NEWRY STREET","KILKEEL,NEWRY",BT34 4DN,Southern,4070
555,Dr. MERCER & PARTNER                ,KILKEEL PRIMARY CARE CENTRE,GREENCASTLE STREET,"KILKEEL, NEWRY",BT34 4BH,Southern,1828
556,DR. J MERCER AND PARTNERS,SHANLIEVE SURGERY,"KILKEEL PRIMARY CARE CENTRE, GREENCASTLE STREET","KILKEEL, NEWRY",BT34 4BH,Southern,3450
557,Dr. DOYLE & PARTNERS                ,ARBOR FAMILY PRACTICE,BROWNLOW HEALTH CENTRE,"1 LEGAHORY CENTRE, LEGAHORY, CRAIGAVON",BT65 5BE,Southern,2985
561,Dr R T Leary,THE HEALTH CENTRE,DRUMHAW,"LISNASKEA, ENNISKILLEN",BT92 0FP,Western,2337
562,Dr Armstrong & Partners (2),THE HEALTH CENTRE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,4237
563,Dr Mulligan & Partners,"DEVENISH PRACTICE, THE HEALTH CENTRE",ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,3965
564,Dr Davidson & Partners,LAKESIDE MEDICAL PRACTICE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,7191
566,Dr Hutchinson & Partners,IRVINESTOWN HEALTH CENTRE,CHURCH STREET,IRVINESTOWN,BT94 1EH,Western,7699
568,Drs Mallon & Mcconville,THE HEALTH CENTRE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,2960
569,Dr K F Devlin,LURGANBOY PARK,CLONES ROAD,"NEWTOWNBUTLER, ENNISKILLEN",BT92 6JT,Western,1902
571,Dr Cathcart & Partners,THE HEALTH CENTRE,ERNE ROAD,ENNISKILLEN,BT74 6NN,Western,7236
574,Dr George & Partners,MAPLE GROUP PRACTICE,DRUMHAW,"LISNASKEA, ENNISKILLEN",BT92 0FP,Western,8879
576,Dr Deeny & Partners,RATHMORE CLINIC,BELLEEK,ENNISKILLEN,BT93 3FY,Western,3964
579,DR. ME CAMPBELL,20 UPPER MAIN ST,ROSLEA,ENNISKILLEN,BT92 7LT,Western,1498
581,Drs Kirby & Kirby,75 MAIN STREET,DERRYLIN,ENNISKILLEN,BT92 9LB,Western,2167
583,Drs Groves-Raines & Khew,32 MAIN STREET,DERRYGONNELLY,ENNISKILLEN,BT93 6HW,Western,1798
584,DR. MJ SCOTT AND PARTNER,BROOKEBOROUGH SURGERY,9 TANYARD LANE,"BROOKEBOROUGH, ENNISKILLEN",BT94 4JG,Western,5011
585,Dr K Sweeney,BENAUGHLIN HEALTH CENTRE,DRUMLAGHY,"FLORENCECOURT, ENNISKILLEN",BT92 1BZ,Western,3356
586,Dr J McCusker,TEMPO MEDICAL CENTRE,EDENMORE,"TEMPO, ENNISKILLEN",BT94 3LU,Western,1702
596,Dr. MCCALLION & PARTNERS            ,"CITYVIEW MEDICAL, WATERSIDE HEALTH CENTRE",SPENCER ROAD,LONDONDERRY,BT47 6AH,Western,9615
597,Dr Finlay & Partners,BOVALLY MEDICAL CENTRE,2 ROSSAIR ROAD,LIMAVADY,BT49 0TE,Western,6097
598,Dr Cosgrove & Partners,QUAYSIDE MEDICAL PRACTICE,80 - 84 STRAND ROAD,LONDONDERRY,BT48 7NN,Western,12069
599,DR. IP SINGH AND PARTNERS,"PARK MEDICAL, THE HEALTH CENTRE",GREAT JAMES STREET,LONDONDERRY,BT48 7DH,Western,8096
600,Dr Gordon & Partners,THE HEALTH CENTRE,IRWIN CRESCENT,"CLAUDY, LONDONDERRY",BT47 4AB,Western,4871
601,Dr. GILLESPIE & PARTNERS            ,MOURNESIDE MEDICAL CENTRE,1A BALLYCOLMAN AVENUE,STRABANE,BT82 9AF,Western,10870
602,Dr Casey & Partners,OAKLEAF MEDICAL PRACTICE,GREAT JAMES STREET,LONDONDERRY,BT48 7DH,Western,10487
603,Drs Mariswamy & Byrne,THE HEALTH CENTRE,FEENY,LONDONDERRY,BT47 4TD,Western,5772
604,Dr McCloskey & Partners,THE ABERFOYLE SURGERY,120 STRAND ROAD,LONDONDERRY,BT48 7NY,Western,11484
605,Dr Fullerton,256 BERRYHILL ROAD,DUNAMANAGH,STRABANE,BT82 0NB,Western,3879
606,Dr Magnier & Partners,BRIDGE STREET MEDICAL CENTRE,BRIDGE STREET,LONDONDERRY,BT48 6LD,Western,4796
608,DR. NR BRENNAN AND PARTNERS,ABBEY MEDICAL PRACTICE,ABBEY STREET,LONDONDERRY,BT48 9DN,Western,6981
609,Dr McCleery & Partners,ROSSAIR FAMILY PRACTICE,2 ROSSAIR ROAD,LIMAVADY,BT49 0TE,Western,6570
610,Dr Quigley & Partners,STRABANE HEALTH CENTRE,UPPER MAIN STREET,STRABANE,BT82 8AS,Western,7737
614,Drs Johnston & Murphy,DUNGIVEN HEALTH CENTRE,DUNGIVEN,LONDONDERRY,BT47 4RS,Western,3512
615,Dr. LALSINGH & PARTNERS             ,CLARENDON MEDICAL,35 NORTHLAND AVENUE,LONDONDERRY,BT48 7GW,Western,10858
616,Dr. BAILIE & PARTNERS               ,WESTERN RURAL HEALTHCARE,CASTLEDERG GROUP SURGERY,"13A LOWER STRABANE ROAD, CASTLEDERG",BT81 7AZ,Western,14732
618,Dr P Doherty,49 CLARENDON STREET,LONDONDERRY,NULL,BT48 7ER,Western,2947
619,Dr McKenny & Partners,THE HEALTH CENTRE,SCROGGY ROAD,LIMAVADY,BT49 0NA,Western,5939
620,Dr Watson & Partners,STRABANE HEALTH CENTRE,UPPER MAIN STREET,STRABANE,BT82 8AS,Western,6417
621,Drs Ahmed & Deane,NORTHSIDE MEDICAL PRACTICE,"SHANTALLOW HEALTH CENTRE, RACECOURSE ROAD",LONDONDERRY,BT48 8NL,Western,3574
622,Dr Brennan & Partners,"RACECOURSE MEDICAL, SHANTALLOW HEALTH CENTRE",RACECOURSE ROAD,LONDONDERRY,BT48 8NL,Western,4730
623,DR. TJM CRAIG AND PARTNERS,FOYLESIDE FAMILY PRACTICE,BRIDGE STREET MEDICAL CENTRE,"BRIDGE STREET, LONDONDERRY",BT48 6LD,Western,6044
624,Dr Ashenhurst & Partners,"GLENDERMOTT MEDICAL, WATERSIDE HEALTH CENTRE",SPENCER ROAD,LONDONDERRY,BT47 6AH,Western,7645
625,Dr Abbot & Partners,BAYVIEW MEDICAL CENTRE,3 BAYVIEW TERRACE,LONDONDERRY,BT48 7EE,Western,3964
626,DR DF CONNOLLY AND PARTNERS,"RIVERFRONT MEDICAL, WATERSIDE HEALTH CENTRE",SPENCER ROAD,LONDONDERRY,BT47 6AH,Western,8913
627,Dr Hetherington & Partners,EGLINTON MEDICAL PRACTICE,29 MAIN STREET,"EGLINTON, LONDONDERRY",BT47 3AB,Western,7349
629,Dr Heaney & Partners,THE HEALTH CENTRE,SCROGGY ROAD,LIMAVADY,BT49 0NA,Western,7004
651,Dr Magfhogartai & Partners,FINTONA GROUP PRACTICE,33 DROMORE ROAD,"FINTONA, OMAGH",BT78 2BB,Western,6638
652,DR I D RITCHIE,2H MAIN STREET,DRUMQUIN,CO TYRONE,BT78 4SB,Western,1961
654,Dr Pollock & Partners,"GRANGE FAMILY PRACTICE, THE HEALTH CENTRE",MOUNTJOY ROAD,OMAGH,BT79 7BA,Western,6620
655,Dr P Scully,23 OMAGH ROAD,DRUMQUIN,OMAGH,BT78 4QY,Western,1599
657,Dr. O'NEILL & PARTNERS              ,"THREE SPIRES SURGERY, THE HEALTH CENTRE",MOUNTJOY ROAD,OMAGH,BT79 7BA,Western,10184
660,Dr Deeny & Partners,CARRICKMORE HEALTH CENTRE,TERMON ROAD,"CARRICKMORE, OMAGH",BT79 9JR,Western,9171
661,Drs Burke & Reilly,DROMORE SURGERY,16 CAMDERRY ROAD,"DROMORE, OMAGH",BT78 3AU,Western,5691
662,Dr. GALLAGHER & PARTNERS            ,"DRUMRAGH FAMILY PRACTICE, THE HEALTH CENTRE",MOUNTJOY ROAD,OMAGH,BT79 7BA,Western,10666
663,Dr. DEEHAN                          ,"STRULE MEDICAL, THE HEALTH CENTRE",MOUNTJOY ROAD,OMAGH,BT79 7BA,Western,3079
664,Drs Hicks & Singh,41 MAIN STREET,PLUMBRIDGE,OMAGH,BT79 8DL,Western,3284
,,,,,,,
,,,,,,,
