VMP_NM|DATE_FROM|DATE_TO|VERSION
Desmopressin 100microgram tablets|2018-11-07|2018-11-07|1
Desmopressin 100micrograms/ml intranasal solution|2018-11-07|2018-11-07|1
Desmopressin 10micrograms/dose nasal spray|2018-11-07|2018-11-07|1
Desmopressin 120microgram oral lyophilisates sugar free|2018-11-07|2018-11-07|1
Desmopressin 200microgram tablets|2018-11-07|2018-11-07|1
Desmopressin 240microgram oral lyophilisates sugar free|2018-11-07|2018-11-07|1
Desmopressin 25microgram oral lyophilisates sugar free|2018-11-07|2018-11-07|1
Desmopressin 360micrograms/ml oral solution|2018-11-07|2018-11-07|1
Desmopressin 4micrograms/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Desmopressin 50microgram oral lyophilisates sugar free|2018-11-07|2018-11-07|1
Desmopressin 60microgram oral lyophilisates sugar free|2018-11-07|2018-11-07|1
Desogestrel 75microgram tablets|2018-11-07|2018-11-07|1
Dexamethasone 0.1% / Tobramycin 0.3% eye drops|2018-11-07|2018-11-07|1
Dexamethasone 0.1% eye drops|2018-11-07|2018-11-07|1
Dexamethasone 0.1% eye drops 0.4ml unit dose preservative free|2018-11-07|2018-11-07|1
Dexamethasone 0.1% eye drops 0.5ml unit dose preservative free|2018-11-07|2018-11-07|1
Dexamethasone 10mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Dexamethasone 20mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Dexamethasone 2mg soluble tablets sugar free|2018-11-07|2018-11-07|1
Dexamethasone 2mg tablets|2018-11-07|2018-11-07|1
Dexamethasone 2mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Dexamethasone 3.3mg/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Dexamethasone 3.8mg/1ml solution for injection vials|2018-11-07|2018-11-07|1
Dexamethasone 4mg soluble tablets sugar free|2018-11-07|2018-11-07|1
Dexamethasone 4mg tablets|2018-11-07|2018-11-07|1
Dexamethasone 500microgram tablets|2018-11-07|2018-11-07|1
Dexamethasone 6.6mg/2ml solution for injection ampoules|2018-11-07|2018-11-07|1
Dexamethasone 6.6mg/2ml solution for injection vials|2018-11-07|2018-11-07|1
Dexamethasone 8mg soluble tablets sugar free|2018-11-07|2018-11-07|1
Dexamfetamine 10mg tablets|2018-11-07|2018-11-07|1
Dexamfetamine 5mg tablets|2018-11-07|2018-11-07|1
Dexamfetamine 5mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Dexibuprofen 300mg tablets|2018-11-07|2018-11-07|1
Dexibuprofen 400mg tablets|2018-11-07|2018-11-07|1
Dexketoprofen 25mg tablets|2018-11-07|2018-11-07|1
Dexpanthenol 5% ointment|2018-11-07|2018-11-07|1
Dextromethorphan 7.5mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Dialkylcarbamoyl impregnated gauze dressing 4cm x 6cm|2018-11-07|2018-11-07|1
Dialkylcarbamoyl impregnated gauze dressing 7cm x 9cm|2018-11-07|2018-11-07|1
Diamorphine 100mg powder for solution for injection ampoules|2018-11-07|2018-11-07|1
Diamorphine 10mg powder for solution for injection ampoules|2018-11-07|2018-11-07|1
Diamorphine 10mg tablets|2018-11-07|2018-11-07|1
Diamorphine 30mg powder for solution for injection ampoules|2018-11-07|2018-11-07|1
Diamorphine 500mg powder for solution for injection ampoules|2018-11-07|2018-11-07|1
Diamorphine 500mg powder for solution for injection vials|2018-11-07|2018-11-07|1
Diamorphine 5mg powder for solution for injection ampoules|2018-11-07|2018-11-07|1
Diazepam 10mg tablets|2018-11-07|2018-11-07|1
Diazepam 10mg/2.5ml rectal solution tube|2018-11-07|2018-11-07|1
Diazepam 10mg/2ml emulsion for injection ampoules|2018-11-07|2018-11-07|1
Diazepam 10mg/2ml solution for injection ampoules|2018-11-07|2018-11-07|1
Diazepam 2.5mg/1.25ml rectal solution tube|2018-11-07|2018-11-07|1
Diazepam 2mg tablets|2018-11-07|2018-11-07|1
Diazepam 2mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Diazepam 2mg/5ml oral suspension|2018-11-07|2018-11-07|1
Diazepam 5mg tablets|2018-11-07|2018-11-07|1
Diazepam 5mg/2.5ml rectal solution tube|2018-11-07|2018-11-07|1
Diazoxide 50mg tablets|2018-11-07|2018-11-07|1
Dibrompropamidine 0.15% cream|2018-11-07|2018-11-07|1
Dibrompropamidine 0.15% eye ointment|2018-11-07|2018-11-07|1
Dichlorobenzyl alcohol 1.2mg / Amylmetacresol 600microgram lozenges|2018-11-07|2018-11-07|1
Dichlorobenzyl alcohol 1.2mg / Amylmetacresol 600microgram lozenges sugar free|2018-11-07|2018-11-07|1
Diclofenac 0.074% mouthwash sugar free|2018-11-07|2018-11-07|1
Diclofenac 0.1% eye drops|2018-11-07|2018-11-07|1
Diclofenac 0.1% eye drops 0.3ml unit dose preservative free|2018-11-07|2018-11-07|1
Diclofenac 1% transdermal patches|2018-11-07|2018-11-07|1
Diclofenac 1.16% gel|2018-11-07|2018-11-07|1
Diclofenac 100mg suppositories|2018-11-07|2018-11-07|1
Diclofenac 12.5mg suppositories|2018-11-07|2018-11-07|1
Diclofenac 140mg medicated plasters|2018-11-07|2018-11-07|1
Diclofenac 16mg/ml topical solution|2018-11-07|2018-11-07|1
Diclofenac 2.32% gel|2018-11-07|2018-11-07|1
Diclofenac 25mg suppositories|2018-11-07|2018-11-07|1
Diclofenac 50mg dispersible tablets sugar free|2018-11-07|2018-11-07|1
Diclofenac 50mg suppositories|2018-11-07|2018-11-07|1
Diclofenac 75mg/3ml solution for injection ampoules|2018-11-07|2018-11-07|1
Diclofenac potassium 25mg tablets|2018-11-07|2018-11-07|1
Diclofenac potassium 50mg tablets|2018-11-07|2018-11-07|1
Diclofenac sodium 100mg modified-release capsules|2018-11-07|2018-11-07|1
Diclofenac sodium 100mg modified-release tablets|2018-11-07|2018-11-07|1
Diclofenac sodium 25mg gastro-resistant tablets|2018-11-07|2018-11-07|1
Diclofenac sodium 3% gel|2018-11-07|2018-11-07|1
Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets|2018-11-07|2018-11-07|1
Diclofenac sodium 50mg gastro-resistant tablets|2018-11-07|2018-11-07|1
Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets|2018-11-07|2018-11-07|1
Diclofenac sodium 75mg gastro-resistant modified-release capsules|2018-11-07|2018-11-07|1
Diclofenac sodium 75mg modified-release capsules|2018-11-07|2018-11-07|1
Diclofenac sodium 75mg modified-release tablets|2018-11-07|2018-11-07|1
Dicycloverine 10mg tablets|2018-11-07|2018-11-07|1
Dicycloverine 10mg/5ml oral solution|2018-11-07|2018-11-07|1
Dicycloverine 20mg tablets|2018-11-07|2018-11-07|1
Diethylamine salicylate 10% cream|2018-11-07|2018-11-07|1
Diethylstilbestrol 1mg tablets|2018-11-07|2018-11-07|1
Diethylstilbestrol 5mg tablets|2018-11-07|2018-11-07|1
Diflucortolone 0.1% cream|2018-11-07|2018-11-07|1
Diflucortolone 0.1% oily cream|2018-11-07|2018-11-07|1
Diflucortolone 0.1% ointment|2018-11-07|2018-11-07|1
Diflucortolone 0.3% oily cream|2018-11-07|2018-11-07|1
Diflucortolone 0.3% ointment|2018-11-07|2018-11-07|1
Digoxin 125microgram tablets|2018-11-07|2018-11-07|1
Digoxin 250microgram tablets|2018-11-07|2018-11-07|1
Digoxin 500micrograms/2ml solution for infusion ampoules|2018-11-07|2018-11-07|1
Digoxin 50micrograms/ml oral solution|2018-11-07|2018-11-07|1
Digoxin 62.5microgram tablets|2018-11-07|2018-11-07|1
Dihydrocodeine 10mg/5ml oral solution|2018-11-07|2018-11-07|1
Dihydrocodeine 120mg modified-release tablets|2018-11-07|2018-11-07|1
Dihydrocodeine 30mg tablets|2018-11-07|2018-11-07|1
Dihydrocodeine 40mg tablets|2018-11-07|2018-11-07|1
Dihydrocodeine 50mg/1ml solution for injection ampoules|2018-11-07|2018-11-07|1
Dihydrocodeine 60mg modified-release tablets|2018-11-07|2018-11-07|1
Dihydrocodeine 90mg modified-release tablets|2018-11-07|2018-11-07|1
Dilatation catheter male 10Ch|2018-11-07|2018-11-07|1
Dilatation catheter male 12Ch|2018-11-07|2018-11-07|1
Dilatation catheter male 14Ch|2018-11-07|2018-11-07|1
Dilatation catheter male 16Ch|2018-11-07|2018-11-07|1
Dilatation catheter male 18Ch|2018-11-07|2018-11-07|1
Dilatation catheter male 8Ch|2018-11-07|2018-11-07|1
Diltiazem 120mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 120mg modified-release tablets|2018-11-07|2018-11-07|1
Diltiazem 180mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 200mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 240mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 300mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 360mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 60mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 60mg modified-release tablets|2018-11-07|2018-11-07|1
Diltiazem 90mg modified-release capsules|2018-11-07|2018-11-07|1
Diltiazem 90mg modified-release tablets|2018-11-07|2018-11-07|1
Dimethyl fumarate 120mg gastro-resistant tablets|2018-11-07|2018-11-07|1
Dimeticone 10% / Cetrimide 0.3% cream|2018-11-07|2018-11-07|1
Dimeticone 22% / Benzalkonium chloride 0.1% cream|2018-11-07|2018-11-07|1
Dimeticone 4% cutaneous spray|2018-11-07|2018-11-07|1
Dimeticone 4% gel|2018-11-07|2018-11-07|1
Dimeticone 4% lotion|2018-11-07|2018-11-07|1
Diphenhydramine 25mg tablets|2018-11-07|2018-11-07|1
Diphenhydramine 50mg tablets|2018-11-07|2018-11-07|1
Diphtheria (low dose) / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes|2018-11-07|2018-11-07|1
Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes|2018-11-07|2018-11-07|1
Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes|2018-11-07|2018-11-07|1
Diphtheria / Tetanus / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes|2018-11-07|2018-11-07|1
Dipipanone 10mg / Cyclizine 30mg tablets|2018-11-07|2018-11-07|1
Dipyridamole 100mg tablets|2018-11-07|2018-11-07|1
Dipyridamole 200mg modified-release / Aspirin 25mg capsules|2018-11-07|2018-11-07|1
Dipyridamole 200mg modified-release capsules|2018-11-07|2018-11-07|1
Dipyridamole 200mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Dipyridamole 25mg tablets|2018-11-07|2018-11-07|1
Dipyridamole 50mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Disopyramide 100mg capsules|2018-11-07|2018-11-07|1
Disopyramide 150mg capsules|2018-11-07|2018-11-07|1
Disopyramide 250mg modified-release tablets|2018-11-07|2018-11-07|1
Disposal unit for hypodermic equipment|2018-11-07|2018-11-07|1
Distigmine bromide 5mg tablets|2018-11-07|2018-11-07|1
Disulfiram 200mg tablets|2018-11-07|2018-11-07|1
Dithranol 0.1% cream|2018-11-07|2018-11-07|1
Dithranol 0.25% cream|2018-11-07|2018-11-07|1
Dithranol 0.5% cream|2018-11-07|2018-11-07|1
Dithranol 1% cream|2018-11-07|2018-11-07|1
Dithranol 2% cream|2018-11-07|2018-11-07|1
Dithranol 3% cream|2018-11-07|2018-11-07|1
Docusate 100mg capsules|2018-11-07|2018-11-07|1
Docusate 12.5mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Docusate 120mg/10g enema|2018-11-07|2018-11-07|1
Docusate 50mg/5ml oral solution sugar free|2018-11-07|2018-11-07|1
Docusate sodium 0.5% ear drops|2018-11-07|2018-11-07|1
Docusate sodium 5% ear drops|2018-11-07|2018-11-07|1
Domperidone 10mg tablets|2018-11-07|2018-11-07|1
Domperidone 5mg/5ml oral suspension sugar free|2018-11-07|2018-11-07|1
Donepezil 10mg orodispersible tablets sugar free|2018-11-07|2018-11-07|1
Donepezil 10mg tablets|2018-11-07|2018-11-07|1
Donepezil 1mg/ml oral solution sugar free|2018-11-07|2018-11-07|1
Donepezil 5mg orodispersible tablets sugar free|2018-11-07|2018-11-07|1
Donepezil 5mg tablets|2018-11-07|2018-11-07|1
Dornase alfa 2.5mg/2.5ml nebuliser liquid ampoules|2018-11-07|2018-11-07|1
Dorzolamide 2% / Timolol 0.5% eye drops|2018-11-07|2018-11-07|1
Dorzolamide 2% / Timolol 0.5% eye drops 0.2ml unit dose preservative free|2018-11-07|2018-11-07|1
Dorzolamide 2% eye drops|2018-11-07|2018-11-07|1
Dorzolamide 2% eye drops 0.2ml unit dose preservative free|2018-11-07|2018-11-07|1
Dorzolamide 20mg/ml / Timolol 5mg/ml eye drops preservative free|2018-11-07|2018-11-07|1
Dorzolamide 20mg/ml eye drops preservative free|2018-11-07|2018-11-07|1
Dosulepin 25mg capsules|2018-11-07|2018-11-07|1
Dosulepin 75mg tablets|2018-11-07|2018-11-07|1
Doxazosin 1mg tablets|2018-11-07|2018-11-07|1
Doxazosin 2mg tablets|2018-11-07|2018-11-07|1
Doxazosin 4mg modified-release tablets|2018-11-07|2018-11-07|1
Doxazosin 4mg tablets|2018-11-07|2018-11-07|1
Doxazosin 8mg modified-release tablets|2018-11-07|2018-11-07|1
Doxepin 25mg capsules|2018-11-07|2018-11-07|1
Doxepin 5% cream|2018-11-07|2018-11-07|1
Doxepin 50mg capsules|2018-11-07|2018-11-07|1
Doxycycline 100mg capsules|2018-11-07|2018-11-07|1
Doxycycline 100mg dispersible tablets sugar free|2018-11-07|2018-11-07|1
Doxycycline 20mg tablets|2018-11-07|2018-11-07|1
Doxycycline 40mg modified-release capsules|2018-11-07|2018-11-07|1
Doxycycline 50mg capsules|2018-11-07|2018-11-07|1
Drainable night drainage bags|2018-11-07|2018-11-07|1
Dronabinol 2.7mg/dose / Cannabidiol 2.5mg/dose oromucosal spray|2018-11-07|2018-11-07|1
Dronedarone 400mg tablets|2018-11-07|2018-11-07|1
Dropper|2018-11-07|2018-11-07|1
Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Dulaglutide 1.5mg/0.5ml solution for injection pre-filled disposable devices|2018-11-07|2018-11-07|1
Dulcamara / Lysimachia nummularia drops|2018-11-07|2018-11-07|1
Dulcamara / Lysimachia nummularia ointment|2018-11-07|2018-11-07|1
Duloxetine 20mg gastro-resistant capsules|2018-11-07|2018-11-07|1
Duloxetine 30mg gastro-resistant capsules|2018-11-07|2018-11-07|1
Duloxetine 40mg gastro-resistant capsules|2018-11-07|2018-11-07|1
Duloxetine 60mg gastro-resistant capsules|2018-11-07|2018-11-07|1
Dutasteride 500microgram capsules|2018-11-07|2018-11-07|1
EMA film gloves disposable large|2018-11-07|2018-11-07|1
EMA film gloves disposable medium|2018-11-07|2018-11-07|1
EMA film gloves disposable small|2018-11-07|2018-11-07|1
Econazole 1% cream|2018-11-07|2018-11-07|1
Econazole 150mg pessaries|2018-11-07|2018-11-07|1
Edoxaban 15mg tablets|2018-11-07|2018-11-07|1
Edoxaban 30mg tablets|2018-11-07|2018-11-07|1
Edoxaban 60mg tablets|2018-11-07|2018-11-07|1
Efavirenz 30mg/ml oral solution sugar free|2018-11-07|2018-11-07|1
Efavirenz 50mg capsules|2018-11-07|2018-11-07|1
Efavirenz 600mg tablets|2018-11-07|2018-11-07|1
Eflornithine 11.5% cream|2018-11-07|2018-11-07|1
Eicosapentaenoic acid 170mg/g / Docosahexaenoic acid 115mg/g oral liquid|2018-11-07|2018-11-07|1
Eicosapentaenoic acid 460mg / Docosahexaenoic acid 380mg capsules|2018-11-07|2018-11-07|1
Elastic adhesive bandage BP 1993 10cm x 4.5m|2018-11-07|2018-11-07|1
Elastic adhesive bandage BP 1993 5cm x 4.5m|2018-11-07|2018-11-07|1
Elastic adhesive bandage BP 1993 7.5cm x 4.5m|2018-11-07|2018-11-07|1
Elastic adhesive tape BP 1988 2.5cm|2018-11-07|2018-11-07|1
Elastic band truss inguinal double|2018-11-07|2018-11-07|1
Elastic band truss inguinal single left|2018-11-07|2018-11-07|1
Elastic band truss scrotal double|2018-11-07|2018-11-07|1
Elastic band truss scrotal single left|2018-11-07|2018-11-07|1
Elastic band truss umbilical double belt|2018-11-07|2018-11-07|1
Elastic band truss umbilical single belt left|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette arm tube 0-5 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette arm tube 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette arm tube 5-11 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette arm tube adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette clava 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette clava adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette gloves 0-5 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette gloves 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette gloves adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leg tube 0-5 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leg tube 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leg tube 5-11 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leg tube adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leggings 0-24 months|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leggings 2-7 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leggings 7-11 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette leggings adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette mittens adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette shorts 0-24 months|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette shorts 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette shorts 2-7 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette shorts 7-11 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette shorts adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette skull cap 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette skull cap 5-11 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette skull cap adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette socks 0-5 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette socks 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette socks adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette top 0-24 months|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette top 11-14 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette top 2-7 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette top 7-11 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette top adult|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette waist tube 0-5 years|2018-11-07|2018-11-07|1
Elasticated nylon / elastane stockinette waist tube 11-14 years|2018-11-07|2018-11-07|1
Elasticated surgical tubular stockinette foam padded 10cm|2018-11-07|2018-11-07|1
Elasticated surgical tubular stockinette foam padded 28cm|2018-11-07|2018-11-07|1
Elasticated surgical tubular stockinette foam padded 35cm|2018-11-07|2018-11-07|1
Elasticated surgical tubular stockinette foam padded 7.5cm|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 10cm size F|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 12cm size G|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 17.5cm size J|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 4.5cm size A|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 6.25cm size B|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 6.75cm size C|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 7.5cm size D|2018-11-07|2018-11-07|1
Elasticated tubular bandage BP 8.75cm size E|2018-11-07|2018-11-07|1
Elasticated viscose stockinette beige line 17.5cm|2018-11-07|2018-11-07|1
Elasticated viscose stockinette blue line 7.5cm|2018-11-07|2018-11-07|1
Elasticated viscose stockinette body suit 3-6 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette body suit 6-12 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette body suit premature|2018-11-07|2018-11-07|1
Elasticated viscose stockinette body suit up to 3 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette clava 5-14 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette clava 6 months-5 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves extra small child|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves large adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves large child|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves large child/small adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves medium adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves medium child|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves medium/large adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves small adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves small child|2018-11-07|2018-11-07|1
Elasticated viscose stockinette gloves small/medium adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette green line 5cm|2018-11-07|2018-11-07|1
Elasticated viscose stockinette knee socks extra large adult 11+|2018-11-07|2018-11-07|1
Elasticated viscose stockinette knee socks large adult 8-11|2018-11-07|2018-11-07|1
Elasticated viscose stockinette knee socks large child 2-4|2018-11-07|2018-11-07|1
Elasticated viscose stockinette knee socks medium adult 6-8|2018-11-07|2018-11-07|1
Elasticated viscose stockinette knee socks medium child 1-2|2018-11-07|2018-11-07|1
Elasticated viscose stockinette knee socks small adult 4-6|2018-11-07|2018-11-07|1
Elasticated viscose stockinette knee socks small child 0-1|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings 11-14 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings 2-5 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings 5-8 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings 6-24 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings 8-11 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings large adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings medium adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette leggings small adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette mittens 2-8 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette mittens 8-14 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette mittens up to 24 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette purple line 20cm|2018-11-07|2018-11-07|1
Elasticated viscose stockinette red line 3.5cm|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts 11-14 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts 2-5 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts 5-8 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts 6-24 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts 8-11 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts large adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts medium adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette shorts small adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette socks (one size)|2018-11-07|2018-11-07|1
Elasticated viscose stockinette socks 6 months-8 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette socks 8-14 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette socks up to 8 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette tights 6-24 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest 11-14 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest 2-5 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest 5-8 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest 6-24 months|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest 8-11 years|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest large adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest medium adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette vest small adult|2018-11-07|2018-11-07|1
Elasticated viscose stockinette yellow line 10.75cm|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 2 - 10cm x 4.5m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 2 - 10cm x 5.25m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 2 - 5cm x 4.5m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 2 - 7.5cm x 4.5m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 2 - 7cm x 4.5m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 2 -15cm x 4.5m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 3a - 10cm x 10.25m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 3a - 10cm x 6m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 3a - 10cm x 8.6m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 3a - 10cm x 8.7m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 3a - 10cm x 8m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 3a - 15cm x 12m|2018-11-07|2018-11-07|1
Elastomer and viscose bandage knitted compression type 3a - 15cm x 6m|2018-11-07|2018-11-07|1
Eletriptan 20mg tablets|2018-11-07|2018-11-07|1
Eletriptan 40mg tablets|2018-11-07|2018-11-07|1
Emedastine 0.5mg/ml eye drops|2018-11-07|2018-11-07|1
Empagliflozin 10mg tablets|2018-11-07|2018-11-07|1
Empagliflozin 12.5mg / Metformin 1g tablets|2018-11-07|2018-11-07|1
Empagliflozin 12.5mg / Metformin 850mg tablets|2018-11-07|2018-11-07|1
Empagliflozin 25mg tablets|2018-11-07|2018-11-07|1
Empagliflozin 5mg / Metformin 1g tablets|2018-11-07|2018-11-07|1
Empagliflozin 5mg / Metformin 850mg tablets|2018-11-07|2018-11-07|1
Emulsifying ointment|2018-11-07|2018-11-07|1
Emulsifying ointment 50% / Liquid paraffin 50% ointment|2018-11-07|2018-11-07|1
Emulsifying wax|2018-11-07|2018-11-07|1
Emulsifying wax 30% / Yellow soft paraffin 30% ointment|2018-11-07|2018-11-07|1
Enalapril 10mg tablets|2018-11-07|2018-11-07|1
Enalapril 2.5mg tablets|2018-11-07|2018-11-07|1
Enalapril 20mg / Hydrochlorothiazide 12.5mg tablets|2018-11-07|2018-11-07|1
Enalapril 20mg tablets|2018-11-07|2018-11-07|1
Enalapril 5mg tablets|2018-11-07|2018-11-07|1
Enema syringe Higginson's|2018-11-07|2018-11-07|1
Enoxaparin sodium 100mg/1ml solution for injection pre-filled syringes|2018-11-07|2018-11-07|1
Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes|2018-11-07|2018-11-07|1
