AMP_NM;BNF_CODE;PRESENTATION;STRENGTH
Carmize 0.5% eye drops;;EYE DROP;0
Carmize 0.5% eye drops;;EYE DROP;0.50%
Carmize 0.5% eye drops;;EYE DROP;1%
Carmize 0.5% eye drops 0.4ml unit dose preservative free;;Eye drops;0.5% 0.4M
Carmize 1% eye drops;;EYE DROP;1%
Carmize 1% eye drops;;EYE DROP;1.00%
Carmize 1% eye drops 0.4ml unit dose preservative free;;Eye drops;1% 0.4ML
Carnitor 1g chewable tablets;0908010C0BBABAB;Chewable tablet;1g
Carnitor 330mg tablets;0908010C0BBAEAI;Tablet;330mg
Carnitor oral single dose 1g solution;0908010C0BBAAAA;Oral solution;1g/10ml
Carolon class 1 (14-17mmHg) below knee closed toe lymphoedema garment regular size A;;H & R Healthcare Ltd;Class 1 (14-17mmHg), regular size A , Beige
Carolon class 2 (18-24mmHg) below knee closed toe lymphoedema garment regular size A;;H & R Healthcare Ltd;Class 2 (18-24mmHg), regular size A , Beige
Carolon class 2 (18-24mmHg) thigh length closed toe with silicone top band lymphoedema garment regular size A;;H & R Healthcare Ltd;Class 2 (18-24mmHg), regular size A , Beige
Carolon class 2 (18-24mmHg) thigh length closed toe with silicone top band lymphoedema garment regular size D;;H & R Healthcare Ltd;Class 2 (18-24mmHg), regular size D , Beige
Carolon class 2 (18-24mmHg) thigh length open toe with silicone top band lymphoedema garment regular size A;;H & R Healthcare Ltd;Class 2 (18-24mmHg), regular size A , Beige
Carolon compression understocking pack regular size A;;ULCER COMP SYS;SIZE A-G
Carolon compression understocking pack regular size G;;H & R Healthcare Ltd;Class  (mmHg), Ankle 33cm-35.5
Cascade shower protector;;TRACH/LARYNGECT;AS/3835
Casilan 90 powder;090401000BBAEA0;POWDER;250G
Casodex 150mg tablets;0803042A0BBABAB;Tablet;150mg
Casodex 50mg tablets;0803042A0BBAAAA;Tablet;50mg
Catacrom 2% eye drops 0.3ml unit dose;1104020T0BSAAAJ;Eye drops;2%
Catacrom 2% eye drops 0.3ml unit dose;1104020T0BSAAAJ;Eye drops;2.00%
Catapres 100microgram tablets;0205020E0BBAAAC;Tablet;100microgram
Cath-Fix catheter securement device medium;;AUX PRODUCT CATHETER;630M-M
Cath-It Advance catheter male 12Ch;;CATHETER;908112*16
Cath-It Advance catheter male 14Ch;;FOLEY CATHETER MALE;908114
Cath-It Advance catheter male 14Ch;;FOLEY CATHETER MALE;90811400%
Cath-It Advance catheter male 14Ch;;FOLEY CATHETER MALE;90811400.00%
Cath-It Advance catheter male 16Ch;;FOLEY CATHETER MALE;908116
Cath-It Advance catheter male 16Ch;;FOLEY CATHETER MALE;90811600%
Cath-It Catheter Insertion/Removal Pack large/extra large;;AUX PRODUCT CATHETER;908430
Cath-It Catheter Insertion/Removal Pack large/extra large;;AUX PRODUCT CATHETER;90843000%
Cath-It Catheter Insertion/Removal Pack large/extra large;;AUX PRODUCT CATHETER;90843000.00%
Cath-It Catheter Insertion/Removal Pack medium/large;;AUX PRODUCT CATHETER;908,420
Cath-It Catheter Insertion/Removal Pack medium/large;;AUX PRODUCT CATHETER;908420
Cath-It Catheter Insertion/Removal Pack medium/large;;AUX PRODUCT CATHETER;90842000%
Cath-It Catheter Insertion/Removal Pack medium/large;;AUX PRODUCT CATHETER;90842000.00%
Cath-It Catheter Insertion/Removal Pack small/medium;;AUX PRODUCT CATHETER;908410
Cath-It Catheter Insertion/Removal Pack small/medium;;AUX PRODUCT CATHETER;90841000%
Cathejell Lidocain;;GEL;CJLL08501
Cathejell Lidocain;;GEL;CJLL12501
Cathejell Lidocaine C;;GEL;CJL 08501
Cathejell Lidocaine C;;GEL;CJL 12501
Cathejell Mono;;GEL;CJM 08501
Cathejell Mono;;GEL;CJM 12501
Catheter washout set;;Irrigation appliances;AS02
Caverject 10microgram powder and solvent for solution for injection vials;0704050B0BBABAI;Powder and solvent for solution for injection;10microgram
Caverject 20microgram powder and solvent for solution for injection vials;0704050B0BBAAAA;Powder and solvent for solution for injection;20microgram
Caverject 40microgram powder and solvent for solution for injection vials;0704050B0BBADBD;Powder and solvent for solution for injection;40microgram
Caverject 5microgram powder and solvent for solution for injection vials;0704050B0BBACAN;Powder and solvent for solution for injection;5microgram
Caverject Dual Chamber 10microgram powder and solvent for solution for injection;0704050B0BBAEBJ;Powder and solvent for solution for injection;10microgram
Caverject Dual Chamber 20microgram powder and solvent for solution for injection;0704050B0BBAFBK;Powder and solvent for solution for injection;20microgram
Cavilon Durable barrier cream;;WOUND MAN DRESS;28G
Cavilon Durable barrier cream;;WOUND MAN DRESS;92G
Cavilon Durable barrier cream 2g sachets;;WOUND MAN DRESS;2G
Cavilon No Sting barrier film foam 1ml applicator;;WOUND MAN DRESS;1ML
Cavilon No Sting barrier film foam 3ml applicator;;WOUND MAN DRESS;3ML
Cavilon No Sting barrier film pump spray;;WOUND MAN DRESS;
Cavilon No Sting barrier film wipes;;Ostomy skin protectives;3344E
Ceanel Concentrate shampoo;1309000P0BEAAAG;Shampoo;
Celebrex 100mg capsules;1001010AHBBAAAA;Capsule;100mg
Celebrex 200mg capsules;1001010AHBBABAB;Capsule;200mg
Celectol 200mg tablets;020400060BBAAAA;Tablet;200mg
Celectol 400mg tablets;020400060BBABAB;Tablet;400mg
Celevac 500mg tablets;0106010H0BBAAAC;Tablet;500mg
CellCept 1g/5ml oral suspension;0802010M0BBAEAJ;Oral suspension;1g/5ml
CellCept 250mg capsules;0802010M0BBAAAA;Capsule;250mg
CellCept 500mg tablets;0802010M0BBABAB;Tablet;500mg
Cellona Undercast padding bandage 10cm x 2.75m;;BANDAGE;10CMX2.75
Cellona Undercast padding bandage 15cm x 2.75m;;BANDAGE;15CMX2.75
Cellona Undercast padding bandage 5cm x 2.75m;;BANDAGE;5CMX2.75M
Cellona Undercast padding bandage 7.5cm x 2.75m;;BANDAGE;7.5X2.75M
Cellona shoe adult extra large size 44-47;;OFF LOAD DEVICE;16476
Cellona shoe adult extra large size 44-47;;OFF LOAD DEVICE;1647600%
Cellona shoe adult extra large size 44-47;;OFF LOAD DEVICE;1647600.00%
Cellona shoe adult extra large size 44-47;;OFF LOAD DEVICE;Feb-45
Cellona shoe adult large size 42-43;;OFF LOAD DEVICE;16475
Cellona shoe adult large size 42-43;;OFF LOAD DEVICE;1647500%
Cellona shoe adult large size 42-43;;OFF LOAD DEVICE;1647500.00%
Cellona shoe adult medium size 39-41;;OFF LOAD DEVICE;16474
Cellona shoe adult medium size 39-41;;OFF LOAD DEVICE;1647400%
Cellona shoe adult medium size 39-41;;OFF LOAD DEVICE;1647400.00%
Cellona shoe adult small size 35-38;;OFF LOAD DEVICE;16,473
Cellona shoe adult small size 35-38;;OFF LOAD DEVICE;16473
Cellona shoe adult small size 35-38;;OFF LOAD DEVICE;1647300%
Cellona shoe adult small size 35-38;;OFF LOAD DEVICE;1647300.00%
Cellona shoe children extra small size 31-34;;OFF LOAD DEVICE;1647200.00%
Cellosene cellulose wadding;;WADDING;500G
Cellusan 1% eye drops 0.4ml unit dose preservative free;;Eye drops;1% 0.4ML
Cellusan 1% eye drops preservative free;;EYE DROP;1%
Cellusan 1% eye drops preservative free;;EYE DROP;1.00%
Cellusan Light 0.5% eye drops 0.4ml unit dose preservative free;;Eye drops;0.5% 0.4M
Cellusan Light 0.5% eye drops preservative free;;EYE DROP;0
Cellusan Light 0.5% eye drops preservative free;;EYE DROP;0.50%
Cellusan Light 0.5% eye drops preservative free;;EYE DROP;1%
Celluvisc 0.5% eye drops 0.4ml unit dose;1108010D0BCABAD;Eye drops;0.5%0.4ML
Celluvisc 1% eye drops 0.4ml unit dose;1108010D0BCAAAC;Eye drops;1% 0.4ML
Central Gard dressing 16cm x 7cm;;DRESSING;16CMX7CM
Central Gard dressing 16cm x 8.8cm;;DRESSING;16CMX8.8
Centrum Advance 50+ tablets;091000000BBNBA0;Tablet;
Centrum Advance tablets;091000000BBKRA0;Tablet;
Centrum Fruity Chewables tablets;091000000BBWIA0;Chewable tablet;
Centrum Performance tablets;090607000BBKLA0;Tablet;
Ceporex 125mg/5ml syrup;0501021L0BBAHAC;Oral suspension;125mg/5ml
Ceporex 250mg capsules;0501021L0BBAAAA;Capsule;250mg
Ceporex 250mg tablets;0501021L0BBACAG;Tablet;250mg
Ceporex 250mg/5ml syrup;0501021L0BBAIAD;Oral suspension;250mg/5ml
Ceporex 500mg capsules;0501021L0BBABAB;Capsule;500mg
Ceporex 500mg tablets;0501021L0BBADAH;Tablet;500mg
Ceporex 500mg/5ml syrup;0501021L0BBAJAE;Oral suspension;500mg/5ml
Cepton 1% medicated skin wash;1311020L0BKAAAN;Liquid;0
Cepton 1% medicated skin wash;1311020L0BKAAAN;Liquid;1%
Cepton 1% medicated skin wash;1311020L0BKAAAN;Liquid;1.00%
Cerazette 75microgram tablets;0703021Q0BBAAAA;Tablet;75microgram
Cerelle 75microgram tablets;0703021Q0BDAAAA;Tablet;75microgram
Cerumol ear drops;1201030H0BBAAAA;Ear drops;
Cervarix vaccine suspension for injection 0.5ml pre-filled syringes;1404000AIBBAAAA;Suspension for injection;
Cetaphil Restoraderm skin restoring body wash;130501000BBBLA0;Cutaneous emulsion;
Cetaphil Restoraderm skin restoring moisturiser;130501000BBBMA0;Cutaneous emulsion;
Cetaphil gentle skin cleanser;1311030A0BGACA0;Cutaneous emulsion;
Cetaphil moisturising cream;1311030A0BGADA0;Toiletries cream;
Cetaphil moisturising cream;1311030A0BGADA0;cream;
Cetaphil moisturising lotion;1311030A0BGAEA0;Cutaneous emulsion;
Cetavlex 0.5% cream;1310050D0BCAAAA;Cream;0.50%
Cetavlex 0.5% cream;1310050D0BCAAAA;Cream;1%
Cetraben cream;;Cream;13.2% /  10.5%
Cetraben emollient 82.8% bath additive;1302011L0BFAAAE;EMOLLIENT;
Cetraben emollient 82.8% bath additive;1302011L0BFAAAE;bath additive;1
Cetraben emollient 82.8% bath additive;1302011L0BFAAAE;bath additive;82.80%
Cetraben emollient 82.8% bath additive;1302011L0BFAAAE;bath additive;83%
Cetraben lotion;;LOTION;
Cetraben ointment;;Ointment;
Cetrotide 250microgram powder and solvent for solution for injection vials;0607020D0BBAAAA;Powder and solvent for solution for injection;250microgram
Chailey male urinal with plastic bag;;Urinal systems;WP105-01-L
Champix 0.5mg tablets;0410020C0BBAAAA;Tablet;500microgram
Champix 1mg tablets;0410020C0BBABAB;Tablet;1mg
Chemifix tape 10cm;;TAPE;10CMX10M
Chemifix tape 10cm;;TAPE;10CMX5M
Chemifix tape 2.5cm;;TAPE;2.5CMX10M
Chemifix tape 2.5cm;;TAPE;2.5CMX5M
Chemifix tape 5cm;;TAPE;5CMX10M
Chemifix tape 5cm;;TAPE;5CMX5M
Chemipore tape 1.25cm;;TAPE;1.25CMX5M
Chemipore tape 2.5cm;;TAPE;2.5CMX10M
Chemipore tape 2.5cm;;TAPE;2.5CMX5M
Chemipore tape 5cm;;TAPE;5CMX5M
Chemipore-PE tape 2.5cm;;TAPE;2.5CMX10M
Chemists' Own head lice spray;;SPRAY;
Chemydur 60XL tablets;0206010K0CDAAAE;Modified-release tablet;60mg
Chiron flange;;FLANGE;WK102-38K
Chiron ostomy plaster;;PLASTER;WJ01119S
Chiron ostomy plaster;;PLASTERS;WJ01219W
Chiron ostomy plaster;;PLASTERS;WJ01319B
Chiron ostomy plaster;;PLASTERS;WJ01419F
Chiron ostomy plaster;;PLASTERS;WJ01625J
Chiron rubber ileostomy day bag;;BAG;WF001-38E
Chiron rubber ileostomy night bag;;BAG;WF021-38Q
Chiron rubber urostomy night bag;;Urostomy bags;WF211-38-X,38mm,White
ChloraPrep solution 0.67ml applicators;1311020L0CHABBS;Liquid;2% /  70%
ChloraPrep solution 1.5ml applicators;1311020L0CHACBS;Liquid;2% /  70%
ChloraPrep solution 3ml applicators;1311020L0CHAABS;Liquid;2% /  70%
ChloraPrep with Tint solution 3ml applicators;1311020L0CHAFBS;Liquid;2% /  70%
Chloral hydrate 500mg/5ml mixture BP 2000;0401010B0AABSBS;Oral solution;500mg/5ml
Chloramphenicol 10% ear drops;1201010H0AAABAB;Ear drops;0
Chloramphenicol 10% ear drops;1201010H0AAABAB;Ear drops;10%
Chloramphenicol 10% ear drops;1201010H0AAABAB;Ear drops;10.00%
Chloramphenicol Antibiotic 0.5% eye drops;1103010C0BKAAAA;Eye drops;0
Chloramphenicol Antibiotic 0.5% eye drops;1103010C0BKAAAA;Eye drops;0.50%
Chloramphenicol Antibiotic 0.5% eye drops;1103010C0BKAAAA;Eye drops;1%
Chloromycetin 1% eye ointment;1103010C0BBAAAD;Eye ointment;0
Chloromycetin 1% eye ointment;1103010C0BBAAAD;Eye ointment;1%
Chloromycetin 1% eye ointment;1103010C0BBAAAD;Eye ointment;1.00%
Chloromycetin Redidrops 0.5%;1103010C0BBABAA;Eye drops;0.50%
Chloromycetin Redidrops 0.5%;1103010C0BBABAA;Eye drops;1%
Chlorpromazine 25mg/5ml syrup;0402010D0AAABAB;Oral solution;25mg/5ml
Cholestagel 625mg tablets;0212000ADBBAAAA;Tablet;625mg
Cholurso 500mg tablets;0109010U0BFAABK;Tablet;500mg
Choragon 5,000unit powder and solvent for solution for injection ampoules;0605010D0BEAAAE;Powder and solvent for solution for injection;5000unit
Cialis 10mg tablets;0704050R0BBAAAA;Tablet;10mg
Cialis 2.5mg tablets;0704050R0BBACAC;Tablet;2.5mg
Cialis 20mg tablets;0704050R0BBABAB;Tablet;20mg
Cialis 5mg tablets;0704050R0BBADAD;Tablet;5mg
Cidomycin Adult Injectable 80mg/2ml solution for injection ampoules;0501040H0BBAAAA;Solution for injection;80mg/2ml
Cidomycin Adult Injectable 80mg/2ml solution for injection vials;0501040H0BBAFAM;Solution for injection;80mg/2ml
Cilest 35microgram/250microgram tablets;0703010G0BFAAAC;Tablet;35microgram /  250microgram
Cilique 250microgram/35microgram tablets;0703010G0BHAAAC;Tablet;35microgram /  250microgram
Cilodex ear drops;1201020Q0BBAAAA;Ear drops;0.3% /  0.1%
Ciloxan 0.3% eye drops;1103010B0BBAAAA;Eye drops;0
Ciloxan 0.3% eye drops;1103010B0BBAAAA;Eye drops;0%
Ciloxan 0.3% eye drops;1103010B0BBAAAA;Eye drops;0.30%
Ciloxan 3mg/g eye ointment;1103010B0BBABAD;Eye ointment;3mg/g
Cimizt 30microgram/150microgram tablets;0703010F0BTAAAA;Tablet;30microgram /  150microgram
Cipralex 10mg tablets;0403030X0BBAAAA;Tablet;10mg
Cipralex 20mg tablets;0403030X0BBABAB;Tablet;20mg
Cipralex 20mg/ml oral drops;0403030X0BBAEAF;Oral drops;20mg/ml
Cipralex 5mg tablets;0403030X0BBACAC;Tablet;5mg
Cipramil 20mg tablets;0403030D0BBAAAA;Tablet;20mg
Cipramil 40mg/ml drops;0403030Z0BBAAAA;Oral drops;40mg/ml
Ciproxin 250mg tablets;0501120L0BBAAAA;Tablet;250mg
Ciproxin 250mg/5ml oral suspension;0501120L0BBAJBG;Oral suspension;250mg/5ml
Ciproxin 500mg tablets;0501120L0BBABAF;Tablet;500mg
Ciproxin 750mg tablets;0501120L0BBADAJ;Tablet;750mg
Circadin 2mg modified-release tablets;0401010ADBBAAAA;Modified-release tablet;2mg
Citramag effervescent powder sachets;0106050M0BBAAAA;Effervescent powder;17.79g /  11.57g
Clairette 2000/35 tablets;1306020C0BFAAAA;Tablet;2000microgram/35microgram
Clarelux 500micrograms/g foam;1304000G0BDAACC;Foam;500microgram/g
Clarie XL 500mg tablets;0501050B0BEAAAE;Modified-release tablet;500mg
Clarityn Rapide Allergy 10mg tablets;0304010D0BBAEAE;Oral lyophilisate;10mg
Clear Advantage Spirit sheath style 1 standard;;Incontinence sheaths;5243,24mm,standard
Clear Advantage Spirit sheath style 1 standard;;Incontinence sheaths;5323,32mm,standard
Clear Advantage Spirit sheath style 2 pop-on;;Incontinence sheaths;7243,24mm
Clear Advantage Spirit sheath style 2 pop-on;;Incontinence sheaths;7283,28mm
Clear Advantage Spirit sheath style 2 pop-on;;Incontinence sheaths;7323,32mm
Clear Advantage Spirit sheath style 2 pop-on;;Incontinence sheaths;7363,36mm
Clear Advantage Spirit sheath style 3 wideband;;Incontinence sheaths;9243,24mm
Clear Advantage Spirit sheath style 3 wideband;;Incontinence sheaths;9283,28mm
Clear Advantage Spirit sheath style 3 wideband;;Incontinence sheaths;9323,32mm
Clear Advantage Spirit sheath style 3 wideband;;Incontinence sheaths;9363,36mm
Clear Advantage Spirit sheath style 3 wideband;;Incontinence sheaths;9403,40mm
Clear Advantage silicone sheath large;;Incontinence sheaths;786233,35mm,large
Clear Advantage silicone sheath medium;;Incontinence sheaths;786195,28mm,medium
Clear Advantage silicone sheath small;;SHEATHS;786187-41
Clear Advantage silicone sheath standard;;Incontinence sheaths;786225,31mm,standard
Clear Advantage with Aloe silicone sheath style 1;;Incontinence sheaths;1283,28mm
Clear Advantage with Aloe silicone sheath style 1;;Incontinence sheaths;1323,32mm
Clear Advantage with Aloe silicone sheath style 1;;Incontinence sheaths;1363,36mm
Clear Advantage with Aloe silicone sheath style 2;;Incontinence sheaths;2243,24mm
Clear Advantage with Aloe silicone sheath style 2;;Incontinence sheaths;2283,28mm
Clear Advantage with Aloe silicone sheath style 2;;Incontinence sheaths;2323,32mm
Clear Advantage with Aloe silicone sheath style 2;;Incontinence sheaths;2363,36mm
Clear Advantage with Aloe silicone sheath style 3;;Incontinence sheaths;3243,24mm
Clear Advantage with Aloe silicone sheath style 3;;Incontinence sheaths;3283,28mm
Clear Advantage with Aloe silicone sheath style 3;;Incontinence sheaths;3323,32mm
Clear Advantage with Aloe silicone sheath style 3;;Incontinence sheaths;3363,36mm
Clear Advantage with Aloe silicone sheath style 3;;Incontinence sheaths;3403,40mm
ClearWay bridge;;Ostomy bridges;7700
ClearWay bridge;;Ostomy bridges;770000%
ClearWay bridge;;Ostomy bridges;770000.00%
ClearWay bridge mini;;Ostomy bridges;8800,mini
ClearZal Hard Skin Remover;;CREAM;
Cleen Ready-to-use 133ml enema;0106040N0BDAAAD;Enema;18.1% /  8%
Clenil Modulite 100micrograms/dose inhaler;0302000C0BPABBF;Pressurised inhalation;100microgram/dose
Clenil Modulite 200micrograms/dose inhaler;0302000C0BPACBV;Pressurised inhalation;200microgram/dose
Clenil Modulite 250micrograms/dose inhaler;0302000C0BPADBW;Pressurised inhalation;250microgram/dose
Clenil Modulite 50micrograms/dose inhaler;0302000C0BPAABE;Pressurised inhalation;50microgram/dose
Cleo 90 subcutaneous drug delivery device 107cm tubing 9mm inserter/retractor;;DRUG DELIV ACC;21-7232-24
Cleo 90 subcutaneous drug delivery device 61cm tubing 6mm inserter/retractor;;DRUG DELIV ACC;21-7220-24
Cleo 90 subcutaneous drug delivery device 61cm tubing 9mm inserter/retractor;;DRUG DELIV ACC;21-7230-24
Cleo 90 subcutaneous drug delivery device 79cm tubing 6mm inserter/retractor;;DRUG DELIV ACC;21-7221-24
Cleo 90 subcutaneous drug delivery device 79cm tubing 9mm inserter/retractor;;DRUG DELIV ACC;21-7231-24
Clexane 100mg/1ml solution for injection pre-filled syringes;0208010D0BBAEAE;Solution for injection;100mg/1ml
Clexane 20mg/0.2ml solution for injection pre-filled syringes;0208010D0BBAAAA;Solution for injection;20mg/0.2ml
Clexane 300mg/3ml solution for injection multidose vials;0208010D0BBAHAH;Solution for injection;300mg/3ml
Clexane 40mg/0.4ml solution for injection pre-filled syringes;0208010D0BBABAB;Solution for injection;40mg/0.4ml
Clexane 60mg/0.6ml solution for injection pre-filled syringes;0208010D0BBACAC;Solution for injection;60mg/0.6ml
Clexane 80mg/0.8ml solution for injection pre-filled syringes;0208010D0BBADAD;Solution for injection;80mg/0.8ml
Clexane Forte 120mg/0.8ml solution for injection pre-filled syringes;0208010D0BBAFAF;Solution for injection;120mg/0.8ml
Clexane Forte 150mg/1ml solution for injection pre-filled syringes;0208010D0BBAGAG;Solution for injection;150mg/1ml
ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units;;PEN;3.0ML
Climagest 2mg tablets;;TABLETS;2MG
Climanor 5mg tablets;0604012M0BEAAAB;Tablet;5mg
Climaval 1mg tablets;0604011K0BCAAAA;Tablet;1mg
Climaval 2mg tablets;0604011K0BCABAB;Tablet;2mg
Climesse tablets;0604011L0BMAAAR;Tablet;2mg /  700microgram
Clini Duo40 medical stocking and compression liner extra large;;CliniSupplies Ltd;extra large
Clini cervical collar large;;COLLAR;OA8023
Clini cervical collar medium;;COLLAR;OA8016
Clini cervical collar small;;COLLAR;OA8009
CliniFast stockinette 10.75cm;;STOCKINETTE;10.75CMX1
CliniFast stockinette 10.75cm;;STOCKINETTE;10.75CMX3
CliniFast stockinette 10.75cm;;STOCKINETTE;10.75CMX5
CliniFast stockinette 17.5cm;;STOCKINETTE;17.5CMX1M
CliniFast stockinette 3.5cm;;STOCKINETTE;3.5CMX1M
CliniFast stockinette 5cm;;STOCKINETTE;5CMX1M
CliniFast stockinette 5cm;;STOCKINETTE;5CMX3M
CliniFast stockinette 5cm;;STOCKINETTE;5CMX5M
CliniFast stockinette 7.5cm;;STOCKINETTE;7.5CMX1M
CliniFast stockinette 7.5cm;;STOCKINETTE;7.5CMX3M
CliniFast stockinette 7.5cm;;STOCKINETTE;7.5CMX5M
CliniFast stockinette clava 6 months-5 years;;STOCKINETTE;6MTHS-5YR
CliniFast stockinette cycle shorts large adult;;STOCKINETTE;LRG ADULT
CliniFast stockinette cycle shorts medium adult;;STOCKINETTE;MED ADULT
CliniFast stockinette gloves large adult;;STOCKINETTE;LGE ADULT
CliniFast stockinette gloves large child/small adult;;STOCKINETTE;LGE CLD-S
CliniFast stockinette gloves medium adult;;STOCKINETTE;MED ADULT
CliniFast stockinette gloves medium child;;STOCKINETTE;MED CHILD
CliniFast stockinette gloves small child;;STOCKINETTE;SML CHILD
CliniFast stockinette leggings 11-14 years;;STOCKINETTE;11-14YS
CliniFast stockinette leggings 2-5 years;;CliniSupplies Ltd;2-5 years, Pink
CliniFast stockinette leggings 2-5 years;;STOCKINETTE;2-5YEARS
CliniFast stockinette leggings 5-8 years;;CliniSupplies Ltd;5-8 years, Blue
CliniFast stockinette leggings 5-8 years;;CliniSupplies Ltd;5-8 years, Pink
CliniFast stockinette leggings 5-8 years;;STOCKINETTE;5-8 YEARS
CliniFast stockinette leggings 8-11 years;;STOCKINETTE;8-11YEARS
CliniFast stockinette leggings large adult;;STOCKINETTE;LRG ADULT
CliniFast stockinette leggings medium adult;;STOCKINETTE;MED ADULT
CliniFast stockinette leggings small adult;;STOCKINETTE;SML ADULT
CliniFast stockinette mittens 2-8 years;;STOCKINETTE;2-8YEARS
CliniFast stockinette mittens 8-14 years;;STOCKINETTE;8-14YEARS
CliniFast stockinette mittens up to 24 months;;STOCKINETTE;UP TO 24M
CliniFast stockinette socks 8-14 years;;STOCKINETTE;8-14YEARS
CliniFast stockinette socks up to 8 years;;STOCKINETTE;UP TO 8YR
CliniFast stockinette tights 6-24 months;;CliniSupplies Ltd;6-24 months, Blue
CliniFast stockinette tights 6-24 months;;STOCKINETTE;6-24MTHS
CliniFast stockinette vest long sleeve 11-14 years;;STOCKINETTE;11-14YRS
CliniFast stockinette vest long sleeve 2-5 years;;CliniSupplies Ltd;2-5 years, Pink
CliniFast stockinette vest long sleeve 2-5 years;;STOCKINETTE;2-5YEARS
CliniFast stockinette vest long sleeve 5-8 years;;CliniSupplies Ltd;5-8 years, Blue
CliniFast stockinette vest long sleeve 5-8 years;;CliniSupplies Ltd;5-8 years, Pink
CliniFast stockinette vest long sleeve 5-8 years;;STOCKINETTE;5-8YEARS
CliniFast stockinette vest long sleeve 6-24 months;;CliniSupplies Ltd;6-24 months, Blue
CliniFast stockinette vest long sleeve 6-24 months;;STOCKINETTE;6-24MTHS
CliniFast stockinette vest long sleeve 8-11 years;;STOCKINETTE;8-11YEARS
CliniFast stockinette vest long sleeve large adult;;STOCKINETTE;LRG ADULT
CliniFast stockinette vest long sleeve medium adult;;STOCKINETTE;MED ADULT
CliniFast stockinette vest long sleeve small adult;;STOCKINETTE;SML ADULT
CliniFast stockinette vest short sleeve large adult;;STOCKINETTE;LRG ADULT
CliniFast stockinette vest short sleeve medium adult;;STOCKINETTE;MED ADULT
CliniFix catheter tube holder;;AUX PRODUCT CATHETER;40-310
CliniFix catheter tube holder;;AUX PRODUCT CATHETER;40-410
CliniLite bandage 10cm x 4.5m;;BANDAGE;10CM
CliniLite bandage 15cm x 4.5m;;BANDAGE;15CM
CliniLite bandage 7.5cm x 4.5m;;BANDAGE;7.5CM
CliniMed clamp;;Ostomy bag closures;3750
CliniMed clamp;;Ostomy bag closures;375000.00%
CliniPlus bandage 10cm x 8.7m;;BANDAGE;10CMX8.7M
Clinifilm barrier cream;;POWDER;
Clinifilm spray;;Ostomy skin protectives;300719
Clinifilm spray;;Ostomy skin protectives;30071900.00%
Clinifilm wipes;;Ostomy skin protectives;30071800%
Clinifilm wipes;;Ostomy skin protectives;30071800.00%
Clinifresh deodorant;;Ostomy deodorants;300717
Clinifresh deodorant;;Ostomy deodorants;30071700%
Clinifresh deodorant;;Ostomy deodorants;30071700.00%
Clinipore tape 1.25cm;;TAPE;1.25CMX5M
Clinipore tape 2.5cm;;TAPE;2.5CMX10M
Clinipore tape 2.5cm;;TAPE;2.5CMX5M
Clinipore tape 5cm;;TAPE;5CMX5M
Clinishield wipes;;WIPES;3,800
Clinishield wipes;;WIPES;3800
Clinishield wipes;;WIPES;380000%
Clinishield wipes;;WIPES;380000.00%
Clinitas 0.4% eye drops 0.5ml unit dose;;Eye drops;0.5ML
Clinitas Carbomer 0.2% eye gel;;Eye drops;0
Clinitas Carbomer 0.2% eye gel;;Eye drops;0%
Clinitas Carbomer 0.2% eye gel;;Eye drops;0.20%
Clinitas Hot Eye Compress;;EYE COMPRESS;
Clinitas Multi 0.4% eye drops preservative free;;Eye drops;0
Clinitas Multi 0.4% eye drops preservative free;;Eye drops;0%
Clinitas Multi 0.4% eye drops preservative free;;Eye drops;0.40%
Clinorette tablets;0604011L0CBAAA0;TABLETS;3X28
Clipper 5mg gastro-resistant modified-release tablets;0105020G0BBAAAA;Modified-release tablet;5mg
ClobaDerm 0.05% cream;1304000G0BFAAAA;Cream;0
ClobaDerm 0.05% cream;1304000G0BFAAAA;Cream;0%
ClobaDerm 0.05% cream;1304000G0BFAAAA;Cream;0.05%
ClobaDerm 0.05% ointment;1304000G0BFABBA;Ointment;0
ClobaDerm 0.05% ointment;1304000G0BFABBA;Ointment;0%
ClobaDerm 0.05% ointment;1304000G0BFABBA;Ointment;0.05%
Clobavate 0.05% ointment;1304000H0BDAABA;Ointment;0
Clobavate 0.05% ointment;1304000H0BDAABA;Ointment;0%
Clobavate 0.05% ointment;1304000H0BDAABA;Ointment;0.05%
Clomid 50mg tablets;0605010G0BBAAAA;Tablet;50mg
Clopixol 10mg tablets;0402010T0BBABAB;Tablet;10mg
Clopixol 200mg/1ml solution for injection ampoules;0402020Z0BBAAAA;Solution for injection;200mg/1ml
Clopixol 25mg tablets;0402010T0BBACAC;Tablet;25mg
Clopixol 2mg tablets;0402010T0BBAAAA;Tablet;2mg
Clopixol Acuphase 50mg/1ml solution for injection ampoules;040201010BBAAAA;Solution for injection;50mg/1ml
Clopixol Conc 500mg/1ml solution for injection ampoules;0402020Z0BBACAB;Solution for injection;500mg/1ml
Clotam Rapid 200mg tablets;0407041U0BBABAB;Tablet;200mg
Clozaril 100mg tablets;0402010C0BBABAB;Tablet;100mg
Clozaril 25mg tablets;0402010C0BBAAAA;Tablet;25mg
Co-Diovan 160mg/12.5mg tablets;0205052X0BBAAAA;Tablet;160mg /  12.5mg
