AMP_NM;BNF_CODE;PRESENTATION;STRENGTH;DATE_FROM;DATE_TO;VERSION
Ensure Plus yoghurt style liquid orchard peach;090402000BBLRA0;Gastroenteral liquid;220ML;2018-11-09;2018-11-09;1
Ensure Plus yoghurt style liquid strawberry swirl;090402000BBLRA0;Gastroenteral liquid;;2018-11-09;2018-11-09;1
Ensure Plus yoghurt style liquid strawberry swirl;090402000BBLRA0;Gastroenteral liquid;220ML;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets;;Powder;;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets banana;090402000BBVNA0;Powder;;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets banana;090402000BBVNA0;Powder;237ML;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets chocolate;090402000BBVPA0;Powder;;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets chocolate;090402000BBVPA0;Powder;57G;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets strawberry;090402000BBVQA0;Powder;;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets strawberry;090402000BBVQA0;Powder;57G;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets vanilla;090402000BBVMA0;Powder;;2018-11-09;2018-11-09;1
Ensure Shake oral powder 57g sachets vanilla;090402000BBVMA0;Powder;57G;2018-11-09;2018-11-09;1
Ensure TwoCal liquid;;Liquid;;2018-11-09;2018-11-09;1
Ensure TwoCal liquid banana;090402000BBRZA0;Liquid;;2018-11-09;2018-11-09;1
Ensure TwoCal liquid neutral;090402000BBRZA0;Liquid;;2018-11-09;2018-11-09;1
Ensure TwoCal liquid neutral;090402000BBRZA0;Liquid;200ML;2018-11-09;2018-11-09;1
Ensure TwoCal liquid strawberry;090402000BBRZA0;Liquid;;2018-11-09;2018-11-09;1
Ensure TwoCal liquid strawberry;090402000BBRZA0;Liquid;200ML;2018-11-09;2018-11-09;1
Ensure TwoCal liquid vanilla;090402000BBRZA0;Liquid;;2018-11-09;2018-11-09;1
Ensure TwoCal liquid vanilla;090402000BBRZA0;Liquid;200ML;2018-11-09;2018-11-09;1
Ensure liquid;;Gastroenteral liquid;;2018-11-09;2018-11-09;1
Ensure liquid chocolate;090402000BBEUA0;Gastroenteral liquid;;2018-11-09;2018-11-09;1
Ensure liquid chocolate;090402000BBEUA0;Gastroenteral liquid;250ML;2018-11-09;2018-11-09;1
Ensure liquid coffee;090402000BBEUA0;Gastroenteral liquid;;2018-11-09;2018-11-09;1
Ensure liquid coffee;090402000BBEUA0;Gastroenteral liquid;250ML;2018-11-09;2018-11-09;1
Ensure liquid vanilla;090402000BBEUA0;Gastroenteral liquid;;2018-11-09;2018-11-09;1
Ensure liquid vanilla;090402000BBEUA0;Gastroenteral liquid;250ML;2018-11-09;2018-11-09;1
Entocort 2mg/100ml enema;;Enema;2mg/100ml;2018-11-09;2018-11-09;1
Entocort CR 3mg capsules;0105020A0BBAAAA;Modified-release capsule;3mg;2018-11-09;2018-11-09;1
Entresto 24mg/26mg tablets;0205052AEBBACAC;Tablet;24mg /  26mg;2018-11-09;2018-11-09;1
Entresto 49mg/51mg tablets;0205052AEBBAAAA;Tablet;49mg /  51mg;2018-11-09;2018-11-09;1
Entresto 97mg/103mg tablets;0205052AEBBABAB;Tablet;97mg /  103mg;2018-11-09;2018-11-09;1
Envarsus 1mg modified-release tablets;0802020T0BJAABC;Modified-release tablet;1mg;2018-11-09;2018-11-09;1
Envarsus 4mg modified-release tablets;0802020T0BJACBE;Modified-release tablet;4mg;2018-11-09;2018-11-09;1
Envarsus 750microgram modified-release tablets;0802020T0BJABBD;Modified-release tablet;750microgram;2018-11-09;2018-11-09;1
Enyglid 1mg tablets;0601023R0BDABAB;Tablet;1mg;2018-11-09;2018-11-09;1
Enyglid 2mg tablets;0601023R0BDACAC;Tablet;2mg;2018-11-09;2018-11-09;1
Enzira vaccine suspension for injection 0.5ml pre-filled syringes;1404000H0BLAAAF;Suspension for injection;;2018-11-09;2018-11-09;1
Epaderm cream;;CREAM;;2018-11-09;2018-11-09;1
Epaderm ointment;;Ointment;;2018-11-09;2018-11-09;1
Epanutin 100mg capsules;0408010Q0BBAEAA;Capsule;100mg;2018-11-09;2018-11-09;1
Epanutin 25mg capsules;0408010Q0BBACAD;Capsule;25mg;2018-11-09;2018-11-09;1
Epanutin 300mg capsules;0408010Q0BBAFAQ;Capsule;300mg;2018-11-09;2018-11-09;1
Epanutin 30mg/5ml oral suspension;0408010Z0BBAAAA;Oral suspension;30mg/5ml;2018-11-09;2018-11-09;1
Epanutin 50mg capsules;0408010Q0BBADAP;Capsule;50mg;2018-11-09;2018-11-09;1
Epanutin Infatabs 50mg chewable tablets;0408010Z0BBABAC;Chewable tablet;50mg;2018-11-09;2018-11-09;1
Epanutin Ready-Mixed Parenteral 250mg/5ml solution for injection ampoules;0408020T0BBAAAA;Solution for injection;250mg/5ml;2018-11-09;2018-11-09;1
Eperzan 30mg powder and solvent for solution for injection pre-filled pen;;Powder and solvent for solution for injection;30mg;2018-11-09;2018-11-09;1
Eperzan 30mg powder and solvent for solution for injection pre-filled pen;0601023ASBBAAAA;Powder and solvent for solution for injection;30mg;2018-11-09;2018-11-09;1
Eperzan 50mg powder and solvent for solution for injection pre-filled pen;0601023ASBBABAB;Powder and solvent for solution for injection;50mg;2018-11-09;2018-11-09;1
Ephedrine 30mg/1ml solution for injection ampoules;0207020Z0AAAAAA;Solution for injection;30mg/1ml;2018-11-09;2018-11-09;1
EpiPen 300micrograms/0.3ml (1 in 1,000) solution for injection auto-injectors;0304030C0BEABA3;Solution for injection;300microgram/0.3ml (1 in 1000);2018-11-09;2018-11-09;1
EpiPen Jr. 150micrograms/0.3ml (1 in 2,000) solution for injection auto-injectors;0304030C0BEAAA2;Solution for injection;150microgram/0.3ml (1 in 2000);2018-11-09;2018-11-09;1
Epiduo 0.1%/2.5% gel;1306010Z0BBAAAA;Gel;0.1% /  2.5%;2018-11-09;2018-11-09;1
Epilim 100mg crushable tablets;0408010W0BBAAAB;Tablet;100mg;2018-11-09;2018-11-09;1
Epilim 200 gastro-resistant tablets;0408010W0BBABAC;Gastro-resistant tablet;200mg;2018-11-09;2018-11-09;1
Epilim 200mg/5ml liquid;0408010W0BBADAA;Oral solution;200mg/5ml;2018-11-09;2018-11-09;1
Epilim 200mg/5ml syrup;0408010W0BBAEAE;Oral solution;200mg/5ml;2018-11-09;2018-11-09;1
Epilim 500 gastro-resistant tablets;0408010W0BBACAD;Gastro-resistant tablet;500mg;2018-11-09;2018-11-09;1
Epilim Chrono 200 tablets;0408010W0BBAJAZ;Modified-release tablet;200mg;2018-11-09;2018-11-09;1
Epilim Chrono 300 tablets;0408010W0BBAKA1;Modified-release tablet;300mg;2018-11-09;2018-11-09;1
Epilim Chrono 500 tablets;0408010W0BBALA2;Modified-release tablet;500mg;2018-11-09;2018-11-09;1
Epilim Chronosphere MR 1000mg granules sachets;0408010W0BBASBT;Modified-release granules;1g;2018-11-09;2018-11-09;1
Epilim Chronosphere MR 100mg granules sachets;0408010W0BBAPBW;Modified-release granules;100mg;2018-11-09;2018-11-09;1
Epilim Chronosphere MR 250mg granules sachets;0408010W0BBAQBX;Modified-release granules;250mg;2018-11-09;2018-11-09;1
Epilim Chronosphere MR 500mg granules sachets;0408010W0BBAMBS;Modified-release granules;500mg;2018-11-09;2018-11-09;1
Epilim Chronosphere MR 50mg granules sachets;0408010W0BBANBV;Modified-release granules;50mg;2018-11-09;2018-11-09;1
Epilim Chronosphere MR 750mg granules sachets;0408010W0BBARBY;Modified-release granules;750mg;2018-11-09;2018-11-09;1
Epilim Intravenous 400mg powder and solvent for solution for injection vials;0408010W0BBAIAH;Powder and solvent for solution for injection;400mg;2018-11-09;2018-11-09;1
Epimax cream;;CREAM;;2018-11-09;2018-11-09;1
Episenta 1000mg modified-release granules sachets;0408010W0BIAEBT;Modified-release granules;1g;2018-11-09;2018-11-09;1
Episenta 150mg modified-release capsules;0408010W0BIABBQ;Modified-release capsule;150mg;2018-11-09;2018-11-09;1
Episenta 300mg modified-release capsules;0408010W0BIACBR;Modified-release capsule;300mg;2018-11-09;2018-11-09;1
Episenta 300mg/3ml solution for injection ampoules;0408010W0BIAABP;Solution for injection;300mg/3ml;2018-11-09;2018-11-09;1
Episenta 500mg modified-release granules sachets;0408010W0BIADBS;Modified-release granules;500mg;2018-11-09;2018-11-09;1
Episil oral spray;;SPRAY;;2018-11-09;2018-11-09;1
Epistatus 10mg/1ml oromucosal solution pre-filled oral syringes;0408020V0BCABAS;Oromucosal solution;10mg/1ml;2018-11-09;2018-11-09;1
Epival CR 300mg tablets;0408010W0BHAAA1;Modified-release tablet;300mg;2018-11-09;2018-11-09;1
Epival CR 500mg tablets;0408010W0BHABA2;Modified-release tablet;500mg;2018-11-09;2018-11-09;1
Epivir 150mg tablets;0503010Q0BBAAAA;Tablet;150mg;2018-11-09;2018-11-09;1
Epivir 300mg tablets;0503010Q0BBACAE;Tablet;300mg;2018-11-09;2018-11-09;1
Eprex 1,000units/0.5ml solution for injection pre-filled syringes;0901030D0BBAHAH;Solution for injection;1000unit/0.5ml;2018-11-09;2018-11-09;1
Eprex 2,000units/0.5ml solution for injection pre-filled syringes;0901030D0BBAIAI;Solution for injection;2000unit/0.5ml;2018-11-09;2018-11-09;1
Eprex 4,000units/0.4ml solution for injection pre-filled syringes;0901030D0BBAKAK;Solution for injection;4000unit/0.4ml;2018-11-09;2018-11-09;1
Eprex 6,000units/0.6ml solution for injection pre-filled syringes;0901030D0BBANAN;Solution for injection;6000unit/0.6ml;2018-11-09;2018-11-09;1
Equasym XL 10mg capsules;0404000M0BCADAU;Modified-release capsule;10mg;2018-11-09;2018-11-09;1
Equasym XL 20mg capsules;0404000M0BCAEAQ;Modified-release capsule;20mg;2018-11-09;2018-11-09;1
Equasym XL 30mg capsules;0404000M0BCAFAV;Modified-release capsule;30mg;2018-11-09;2018-11-09;1
Equazen eye q family capsules;091200000BEJYA0;Capsule;;2018-11-09;2018-11-09;1
Equazen eye q liquid vanilla;091200000BEXXA0;Liquid;;2018-11-09;2018-11-09;1
Erastig 13.3mg/24hours transdermal patches;0411000E0BFACAI;Transdermal patch;13.3mg/24 hours;2018-11-09;2018-11-09;1
Erdotin 300mg capsules;0307000Q0BBAAAA;Capsule;300mg;2018-11-09;2018-11-09;1
ErectEase vacuum pump;;VACUUM PUMP;S0001;2018-11-09;2018-11-09;1
Ergo-D2 1.25mg capsules;0906040N0BWAAFL;Capsule;1.25mg;2018-11-09;2018-11-09;1
Ergoral D2 10,000unit tablets;0906040N0BYACAM;Tablet;250microgram;2018-11-09;2018-11-09;1
Ergoral D2 5,000unit tablets;0906040N0BYABAP;Tablet;125microgram;2018-11-09;2018-11-09;1
Ergoral D2 50,000unit capsules;0906040N0BYADFL;Capsule;1.25mg;2018-11-09;2018-11-09;1
Erymax 250mg gastro-resistant capsules;0501050C0BCAAAK;Gastro-resistant capsule;250mg;2018-11-09;2018-11-09;1
Erysidoron 1 drops;;Liquid;3x /  3x;2018-11-09;2018-11-09;1
Erythrocin 250 tablets;0501050N0BBAAAA;Tablet;250mg;2018-11-09;2018-11-09;1
Erythrocin 500 tablets;0501050N0BBABAB;Tablet;500mg;2018-11-09;2018-11-09;1
Erythrolar 500mg tablets;0501050N0BCABAB;Tablet;500mg;2018-11-09;2018-11-09;1
Erythroped A 500mg tablets;0501050H0BDAIAE;Tablet;500mg;2018-11-09;2018-11-09;1
Erythroped Forte SF 500mg/5ml oral suspension;0501050H0BDAPAN;Oral suspension;500mg/5ml;2018-11-09;2018-11-09;1
Erythroped PI SF 125mg/5ml oral suspension;0501050H0BDANAL;Oral suspension;125mg/5ml;2018-11-09;2018-11-09;1
Erythroped SF 250mg/5ml oral suspension;0501050H0BDAMAM;Oral suspension;250mg/5ml;2018-11-09;2018-11-09;1
Esmeron 50mg/5ml solution for injection vials;;Solution for injection;50mg/5ml;2018-11-09;2018-11-09;1
Esmya 5mg tablets;0604012U0BBAAAA;Tablet;5mg;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system colostomy bag with filter, paediatric;;Two piece ostomy systems;S1274F,4.8mm-31mm,Opaque;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system colostomy bag with filter, small;;POUCH;S1053-55F;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system colostomy bag with filter, small;;POUCH;S1056-58F;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system colostomy bag with filter, small;;Two piece ostomy systems;S1054F,13mm-48mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system colostomy bag with filter, small;;Two piece ostomy systems;S1055F,13mm-61mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system colostomy bag with filter, standard;;Two piece ostomy systems;S1063F,13mm-48mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system colostomy bag with filter, standard;;Two piece ostomy systems;S1064F,13mm-61mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system convex durahesive skin barrier with flexible collar;;Two piece ostomy systems;S1180,13mm-22mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system convex durahesive skin barrier with flexible collar;;Two piece ostomy systems;S1181,22mm-33mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system convex durahesive skin barrier with flexible collar;;Two piece ostomy systems;S1182,33mm-45mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system flat durahesive skin barrier with flexible collar;;Two piece ostomy systems;411658,22mm-33mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system flat durahesive skin barrier with flexible collar;;Two piece ostomy systems;411659,33mm-45mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system ileostomy bag extra large;;Two piece ostomy systems;S1009N,13mm-89mm,Transparent,extra large;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system ileostomy bag with filter and InvisiClose outlet, paediatric;;Two piece ostomy systems;S1273F,4.8mm-31mm,Opaque;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system ileostomy bag with filter and InvisiClose outlet, small right;;Two piece ostomy systems;S1230F,13mm-35mm,Opaque,small,right;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system ileostomy bag with filter and InvisiClose outlet, standard right;;Two piece ostomy systems;S1210F,13mm-35mm,Opaque,standard,right;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system ileostomy bag with filter and InvisiClose outlet, standard right;;Two piece ostomy systems;S1211F,13mm-48mm,Opaque,standard,right;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system ileostomy bag with filter and InvisiClose outlet, standard right;;Two piece ostomy systems;S1212F,13mm-61mm,Opaque,standard,right;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier;;Two piece ostomy systems;S1130,Cut to fit 13mm-35mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier;;Two piece ostomy systems;S1132,Cut to fit 13mm-61mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier;;Two piece ostomy systems;S1133,Cut to fit 13mm-89mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier paediatric;;Two piece ostomy systems;S1172,Cut to fit 4.8mm-31mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible collar;;Two piece ostomy systems;S1100,Cut to fit 13mm-35mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible collar;;Two piece ostomy systems;S1101,Cut to fit 13mm-48mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible collar;;Two piece ostomy systems;S1102,Cut to fit 13mm-61mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible collar;;Two piece ostomy systems;S1144,25mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible hydrocolloid collar;;Two piece ostomy systems;S1190,Cut to fit 13mm-35mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible hydrocolloid collar;;Two piece ostomy systems;S1191,Cut to fit 13mm-48mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible hydrocolloid collar;;Two piece ostomy systems;S1192,Cut to fit 13mm-61mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system stomahesive skin barrier with flexible hydrocolloid collar, paediatric;;Two piece ostomy systems;S1173,Cut to fit 4.8mm-31mm;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system urostomy bag with Accuseal tap, standard;;Two piece ostomy systems;S1080,13mm-35mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system urostomy bag with Accuseal tap, standard;;Two piece ostomy systems;S1081,13mm-48mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy two piece ostomy system urostomy bag with Accuseal tap, standard;;Two piece ostomy systems;S1086,13mm-48mm,Transparent,standard;2018-11-09;2018-11-09;1
Esteem Synergy+ two piece ostomy system colostomy bag with filter, small;;Two piece ostomy systems;416777,35mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem Synergy+ two piece ostomy system colostomy bag with filter, small;;Two piece ostomy systems;416781,48mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem Synergy+ two piece ostomy system colostomy bag with filter, standard;;Two piece ostomy systems;416775,35mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy+ two piece ostomy system colostomy bag with filter, standard;;Two piece ostomy systems;416779,48mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy+ two piece ostomy system colostomy bag with filter, standard;;Two piece ostomy systems;416783,61mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy+ two piece ostomy system ileostomy bag with filter and InvisiClose outlet, standard;;Two piece ostomy systems;416796,35mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem Synergy+ two piece ostomy system ileostomy bag with filter and InvisiClose outlet, standard;;Two piece ostomy systems;416799,48mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, large;;Colostomy bags;S5028,25mm,Opaque,large;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, large;;Colostomy bags;S5029,30mm,Opaque,large;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, large;;Colostomy bags;S5030,40mm,Opaque,large;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, large;;Colostomy bags;S5031,50mm,Opaque,large;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, large;;POUCH;S5020;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, large;;POUCH;S5027-33;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, large;;POUCH;S5034;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5006,Starter hole 20mm-80mm,Clear,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5007,25mm,Clear,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5008,30mm,Clear,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5009,40mm,Clear,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5012,35mm,Clear,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5014,25mm,Opaque,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5015,30mm,Opaque,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5016,40mm,Opaque,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;Colostomy bags;S5017,50mm,Opaque,medium;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;POUCH;S5013-17;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, medium;;POUCH;S5018;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, small;;Colostomy bags;S5001,Starter hole 20mm-60mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, small;;Colostomy bags;S5003,30mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem colostomy bag with filter, small;;Colostomy bags;S5011,35mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5151,19mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5152,22mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5153,25mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5154,28mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5155,32mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5156,35mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5157,38mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5158,45mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5159,50mm,Opaque;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5162,22mm,Transparent;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5164,28mm,Transparent;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5165,32mm,Transparent;2018-11-09;2018-11-09;1
Esteem convex ileostomy bag with filter and InvisiClose outlet;;Ileostomy bags;S5166,35mm,Transparent;2018-11-09;2018-11-09;1
Esteem ileostomy bag with InvisiClose outlet, paediatric extra small;;Ileostomy bags;S5090,Cut to fit 0mm-23mm,Transparent,extra small;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter and InvisiClose outlet, medium;;BAG;S5078;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter and InvisiClose outlet, medium;;BAG;S5079;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter and InvisiClose outlet, small;;BAG;S5073-76;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter, large;;Ileostomy bags;S5055,Starter hole 20mm,Clear,large;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter, large;;Ileostomy bags;S5062,Starter hole 20mm,Opaque,large;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter, large;;Ileostomy bags;S5064,30mm,Opaque,large;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter, medium;;Ileostomy bags;S5048,Starter hole 20mm,Opaque,medium;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter, medium;;Ileostomy bags;S5049,25mm,Opaque,medium;2018-11-09;2018-11-09;1
Esteem ileostomy bag with filter, small;;Ileostomy bags;S5041,Starter hole 20mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem urostomy bag small;;Urostomy bags;S5112,25mm,Transparent,small;2018-11-09;2018-11-09;1
Esteem urostomy bag small;;Urostomy bags;S5120,Cut to fit 13mm-45mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem urostomy bag standard;;Urostomy bags;S5130,Cut to fit 13mm-45mm,Transparent,standard;2018-11-09;2018-11-09;1
Esteem urostomy bag standard;;Urostomy bags;S5133,30mm,Transparent,standard;2018-11-09;2018-11-09;1
Esteem urostomy bag standard;;Urostomy bags;S5140,Cut to fit 13mm-45mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem urostomy bag standard;;Urostomy bags;S5142,25mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ Flex convex colostomy bag;;ConvaTec Ltd;Cut to fit 20mm-25mm 421614-V3;2018-11-09;2018-11-09;1
Esteem+ Flex convex colostomy bag;;ConvaTec Ltd;Cut to fit 20mm-35mm 421613-V2;2018-11-09;2018-11-09;1
Esteem+ Flex convex colostomy bag;;ConvaTec Ltd;Cut to fit 20mm-43mm 421612-V1;2018-11-09;2018-11-09;1
Esteem+ Flex convex ileostomy bag;;ConvaTec Ltd;30mm plateau cut to fit 20mm-2;2018-11-09;2018-11-09;1
Esteem+ Flex convex ileostomy bag;;ConvaTec Ltd;40mm plateau cut to fit 20mm-3;2018-11-09;2018-11-09;1
Esteem+ Flex convex ileostomy bag;;ConvaTec Ltd;50mm plateau 25mm stoma 421616;2018-11-09;2018-11-09;1
Esteem+ Flex convex ileostomy bag;;ConvaTec Ltd;50mm plateau 30mm stoma 421617;2018-11-09;2018-11-09;1
Esteem+ Flex convex ileostomy bag;;ConvaTec Ltd;50mm plateau cut to fit 20mm-4;2018-11-09;2018-11-09;1
Esteem+ Flex convex urostomy bag;;ConvaTec Ltd;50mm plateau cut to fit 10mm-4;2018-11-09;2018-11-09;1
Esteem+ colostomy bag standard;;Colostomy bags;413510,Mould to fit 30mm-40mm,Clear,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, small;;Colostomy bags;416702,Starter hole 20mm-70mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, small;;Colostomy bags;416708,30mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, small;;Colostomy bags;416711,35mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, small;;Colostomy bags;416714,40mm,Opaque,small;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416700,Starter hole 20mm-70mm,Clear,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416701,Starter hole 20mm-70mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416703,25mm,Clear,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416704,25mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416706,30mm,Clear,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416707,30mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416709,35mm,Clear,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416710,35mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416713,40mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ colostomy bag with filter, standard;;Colostomy bags;416715,50mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ convex ileostomy bag with filter and InvisiClose outlet, standard;;Ileostomy bags;416739,19mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ convex ileostomy bag with filter and InvisiClose outlet, standard;;Ileostomy bags;416741,22mm,Opaque,standard;2018-11-09;2018-11-09;1
Esteem+ convex ileostomy bag with filter and InvisiClose outlet, standard;;Ileostomy bags;416742,25mm,Clear,standard;2018-11-09;2018-11-09;1
