AMP_NM;BNF_CODE;PRESENTATION;STRENGTH
;1307000V0AAAAAA;Cream;5%
;1307000V0AAAAAA;Cream;5.00%
;1308010W0AAAAAA;Gel;0
;1308010W0AAAAAA;Gel;3%
;1308010W0AAAAAA;Gel;3.00%
;1308010Y0AAAAAA;Cream;5%
;1308010Y0AAAAAA;Cream;5.00%
;1309000C0AAANAN;Shampoo;0
;1309000C0AAANAN;Shampoo;2%
;1309000C0AAANAN;Shampoo;2.00%
;1309000C0AAATAT;Shampoo;5%
;1309000C0AAATAT;Shampoo;5.00%
;1309000I0AAAAAA;Shampoo;0
;1309000I0AAAAAA;Shampoo;2%
;1309000I0AAAAAA;Shampoo;2.00%
;1309000S0AAABAB;Shampoo;0
;1309000S0AAABAB;Shampoo;2.50%
;1309000S0AAABAB;Shampoo;3%
;1309000X0AAAAAA;Cream;11.50%
;1309000X0AAAAAA;Cream;12%
;1310011M0AAAAAA;Ointment;2%
;1310011M0AAAAAA;Ointment;2.00%
;1310011M0AAABAB;Cream;2%
;1310011M0AAABAB;Cream;2.00%
;1310011W0AAABAB;Ointment;10000unit/g /  500unit/g
;1310011Y0AAAAAA;Cream;1%
;1310011Y0AAAAAA;Cream;1.00%
;1310012F0AAABAB;Cream;2%
;1310012F0AAABAB;Cream;2.00%
;1310012K0AAAXAX;Cream;0
;1310012K0AAAXAX;Cream;0.75%
;1310012K0AAAXAX;Cream;1%
;1310012Q0AAAAAA;Ointment;0
;1310012Q0AAAAAA;Ointment;2%
;1310012Q0AAAAAA;Ointment;2.00%
;131002030AAAAAA;Cream;0
;131002030AAAAAA;Cream;1%
;131002030AAAAAA;Cream;1.00%
;131002030AAABAB;Spray;1%
;131002030AAABAB;Spray;1.00%
;1310020A0AAAAAA;NAIL LACQUER;0
;1310020A0AAAAAA;NAIL LACQUER;5%
;1310020A0AAAAAA;NAIL LACQUER;5.00%
;1310020H0AAAAAA;Liquid;1%
;1310020H0AAAAAA;Liquid;1.00%
;1310020H0AAABAB;Cream;0
;1310020H0AAABAB;Cream;1%
;1310020H0AAABAB;Cream;1.00%
;1310020L0AAAAAA;Cream;2%
;1310020L0AAAAAA;Cream;2.00%
;1310020N0AAAAAA;Cream;0
;1310020N0AAAAAA;Cream;2%
;1310020N0AAAAAA;Cream;2.00%
;1310020N0AAABAB;Powder;2%
;1310020N0AAABAB;Powder;2.00%
;1310020N0AAAEAE;Spray;0%
;1310020N0AAAEAE;Spray;0.16%
;1310020T0AAAAAA;Paint;283mg/ml
;1310020U0AAAEAE;Cream;100000unit/g /  1%
;1310030C0AAAAAA;Cream;0
;1310030C0AAAAAA;Cream;5%
;1310030C0AAAAAA;Cream;5.00%
;1310030L0AAAAAA;Cream;1%
;1310030L0AAAAAA;Cream;1.00%
;1310040M0AAADAD;Liquid;0.50%
;1310040M0AAADAD;Liquid;1%
;1310040Q0AAAAAA;Liquid;1%
;1310040Q0AAAAAA;Liquid;1.00%
;1310040Q0AAABAB;Cream;5%
;1310040Q0AAABAB;Cream;5.00%
;1310040V0AAAAAA;Liquid;0
;1310040V0AAAAAA;Liquid;4%
;1310040V0AAAAAA;Liquid;4.00%
;1310050H0AAAAAA;Cream;1%
;1310050H0AAAAAA;Cream;1.00%
;1310050M0AAAAAA;Paste;
;1311010A0AAABAB;Liquid;
;1311040K0AAABAB;Spray;0
;1311040K0AAABAB;Spray;2.50%
;1311040K0AAABAB;Spray;3%
;1311040K0AAASAS;Spray;1.14%
;1311060Q0AAACAC;Tablet for cutaneous solution;400mg
;1312000C0AAASAS;Liquid;0
;1312000C0AAASAS;Liquid;20%
;1312000C0AAASAS;Liquid;20.00%
;1314000H0AAAAAA;Cream;0
;1314000H0AAAAAA;Cream;0%
;1314000H0AAAAAA;Cream;0.30%
;1314000H0AAABAB;Gel;0%
;1314000H0AAABAB;Gel;0.30%
;1501030D0AAAPAP;Solution for injection;600microgram/1ml
;1501030G0AAAAAA;Solution for injection;200microgram/1ml
;1501030H0AAAAAA;Solution for injection;400microgram/1ml
;1501030H0AAABAB;Solution for injection;600microgram/1ml
;1501041T0AAAAAA;Solution for injection;10mg/2ml
;1502010I0AAAEAE;Ointment;5%
;1502010I0AAAEAE;Ointment;5.00%
;1502010I0AAAKAK;Cream;4%
;1502010I0AAAKAK;Cream;4.00%
;1502010J0AAA3A3;Solution for injection;400mg/20ml (2%) /  100microgram/20ml (1 in 200000)
;1502010J0AAAYAY;Solution for injection;200mg/20ml (1%) /  100microgram/20ml (1 in 200000)
;1502010J0AABDBD;Solution for injection;50mg/5ml (1%)
;1502010J0AABEBE;Solution for injection;40mg/2ml (2%)
;1502010J0AABUBU;Solution for injection;20mg/2ml (1%)
;1502010J0AABWBW;Solution for injection;100mg/10ml (1%)
;1502010J0AABYBY;Cream;2.5% /  2.5%
;1502010J0AACBCB;Solution for injection;100mg/5ml (2%)
;1502010J0AACUCU;Solution for injection;400mg/20ml (2%)
1litre douche can;;OTHER;1LITRE
2 way foley all silicone catheter female 12Ch;;FOLEY  CATHETER FEMALE;578200.00%
2 way foley all silicone catheter female 14Ch;;FOLEY  CATHETER FEMALE;5784
2 way foley all silicone catheter female 14Ch;;FOLEY  CATHETER FEMALE;578400.00%
2 way foley all silicone catheter female 14Ch;;FOLEY  CATHETER FEMALE;5784
2 way foley all silicone catheter female 14Ch;;FOLEY  CATHETER FEMALE;578400.00%
2 way foley all silicone catheter male 14Ch;;FOLEY  CATHETER MALE;8501430
2 way foley all silicone catheter male 14Ch;;FOLEY  CATHETER MALE;850143000%
2 way foley all silicone catheter male 14Ch;;FOLEY  CATHETER MALE;850143000.00%
2 way foley all silicone catheter male 14Ch Tiemann tip;;FOLEY  CATHETER MALE;1011-14
2 way foley all silicone catheter male 16Ch;;FOLEY  CATHETER MALE;5776
2 way foley all silicone catheter male 16Ch;;FOLEY  CATHETER MALE;577600%
2 way foley all silicone catheter male 16Ch;;FOLEY  CATHETER MALE;577600.00%
2 way foley all silicone catheter male 16Ch;;FOLEY  CATHETER MALE;5776
2 way foley all silicone catheter with glycerine filled syringe for balloon inflation and empty syringe for balloon deflation female 12Ch;;FOLEY  CATHETER FEMALE;085012051G
2 way foley all silicone catheter with glycerine filled syringe for balloon inflation and empty syringe for balloon deflation paediatric 6Ch;;FOLEY  CATHETER PAEDIATRIC;08500601G
2 way foley all silicone catheter with sterile water filled syringe for balloon inflation and empty syringe for balloon deflation female 14Ch;;FOLEY  CATHETER FEMALE;085014051W
365 Strips skin closure strips 6mm x 75mm;;SKIN CLOSURE;6MMX75MM
365 Strips skin closure strips 6mm x 75mm;;SKIN CLOSURE;6MMX75MM
3M Kind removal tape 2.5cm;;TAPE;2.5CMX5M
3M Micropore Silicone tape 2.5cm;;TAPE;2.5CMX5M
3M Micropore Silicone tape 5cm;;TAPE;5CM X 5M
A2A Spacer;;SPACER/HOLD DEV;
A2A Spacer;;SPACER/HOLD DEV;
A2A Spacer with medium mask;;SPACER/HOLD DEV;
A2A Spacer with medium mask;;SPACER/HOLD DEV;
AAA 1.5mg/dose sore throat spray;1203030B0BCAAAB;Spray;1.5mg/dose
ACWY Vax vaccine powder and solvent for solution for injection 0.5ml vials;1404000X0BEAAAC;Powder and solvent for solution for injection;
APO-go 50mg/5ml solution for injection ampoules;0409010A0BCAAAV;Solution for injection;50mg/5ml
APO-go PEN 30mg/3ml solution for injection;0409010A0BCACAX;Solution for injection;30mg/3ml
APO-go PFS 50mg/10ml solution for infusion pre-filled syringes;0409010A0BCADAZ;PRE-FILLED SYR;10ML
AS Saliva Orthana lozenges;1203050A0BEACAK;LOZENGES;
Abasaglar 100units/ml solution for injection 3ml cartridges;0601012V0BDABAA;Solution for injection;100unit/
Abasaglar KwikPen 100units/ml solution for injection 3ml pre-filled pen;0601012V0BDACAD;Solution for injection;100unit/
Abidec Multivitamin Syrup with Omega 3;090607000BBLMBI;Multivitamin liquid sugar free;
Abidec Multivitamin drops;090607000BBFJBF;Oral drops;
Abilify 10mg orodispersible tablets;0402010ADBBAEAE;TABLETS;10MG
Abilify 10mg tablets;0402010ADBBAAAA;Tablet;10mg
Abilify 15mg orodispersible tablets;0402010ADBBAFAF;TABLETS;15MG
Abilify 15mg tablets;0402010ADBBABAB;Tablet;15mg
Abilify 1mg/ml oral solution;0402010ADBBAGAG;Oral solution;1mg/ml
Abilify 30mg tablets;0402010ADBBACAC;Tablet;30mg
Abilify 5mg tablets;0402010ADBBADAD;Tablet;5mg
Abilify 9.75mg/1.3ml solution for injection vials;0402010ADBBAHAH;Solution for injection;9.75mg/1.3ml
Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes;0402020ADBBABAB;Powder and solvent for suspension for injection;400mg
Abilify Maintena 400mg powder and solvent for prolonged-release suspension for injection vials;0402020ADBBAAAA;Powder and solvent for suspension for injection;400mg
Able Spacer;;SPACER/HOLD DEV;
Able Spacer;;SPACER/HOLD DEV;
Able Spacer with medium mask;;SPACER/HOLD DEV;S/M
Able Spacer with medium mask;;SPACER/HOLD DEV;S/M
AbsorbaGel sachets;;Ostomy discharge solidifying agents;9900
AbsorbaGel sachets;;Ostomy discharge solidifying agents;990000%
AbsorbaGel sachets;;Ostomy discharge solidifying agents;990000.00%
AbsorbaGel sachets;;Ostomy discharge solidifying agents;9900
AbsorbaGel sachets;;Ostomy discharge solidifying agents;990000%
AbsorbaGel sachets;;Ostomy discharge solidifying agents;990000.00%
Absorbian Wand;;Ostomy discharge solidifying agents;UFAS-03
Abstral 100microgram sublingual tablets;0407020A0BJAAAW;Sublingual tablet;100microgram
Abstral 200microgram sublingual tablets;0407020A0BJABAX;Sublingual tablet;200microgram
Abstral 300microgram sublingual tablets;0407020A0BJACAY;Sublingual tablet;300microgram
Abstral 400microgram sublingual tablets;0407020A0BJADAZ;Sublingual tablet;400microgram
Abstral 600microgram sublingual tablets;0407020A0BJAEBA;Sublingual tablet;600microgram
Abstral 800microgram sublingual tablets;0407020A0BJAFBB;Sublingual tablet;800microgram
Acapella mucus clearance device;;PRESSURE DEVICE;
Acapella mucus clearance device;;PRESSURE DEVICE;
Accel-Heal device;;DEVICE;
Accolate 20mg tablets;0303020Z0BBAAAA;Tablet;20mg
Accord vacuum pump manual;;VACUUM PUMP;0103 MANU
Accrete D3 tablets;0906040G0BKAABS;Tablet;400unit /  1.5g
Accupro 10mg tablets;0205051Q0BBABAB;Tablet;10mg
Accupro 20mg tablets;0205051Q0BBACAC;Tablet;20mg
Accupro 40mg tablets;0205051Q0BBADAD;Tablet;40mg
Accupro 5mg tablets;0205051Q0BBAAAA;Tablet;5mg
Accuretic 12.5mg/10mg tablets;0205051P0BBAAAA;Tablet;10mg /  12.5mg
Accuseal extension tube;;Tubing and accessories;S455
Acea 0.75% gel;1310012K0BJAAAR;Gel;0.75%
Acetylcysteine 2g/10ml solution for infusion ampoules;;INJECTION;200MG/ML
Acetylcysteine 2g/10ml solution for infusion ampoules;;INJECTION;200MG/ML
Acidex liquid peppermint;0101021B0BQABAH;Oral suspension;
Acidophilus Extra 10 capsules;091104000BBNPA0;Capsule;
Acidophilus Extra 4 capsules;091104000BBDVA0;Capsule;
Aciferol D3 3,000unit tablets;0906040G0CHADAC;Tablet;3000unit
Aciferol D3 3,000units/ml liquid;0906040G0CHAJDS;Oral solution;15000unit/5ml
Aciferol D3 400unit tablets;0906040G0CHAABR;Tablet;400unit
Aclasta 5mg/100ml infusion bottles;0606020V0BCAAAC;INFUSION;5MG
Acnamino MR 100mg capsules;0501030P0BHAAAC;Modified-release capsule;100mg
Acnecide 5% gel;1306010C0BUAAAB;Gel;0
Acnecide 5% gel;1306010C0BUAAAB;Gel;5%
Acnecide 5% gel;1306010C0BUAAAB;Gel;5.00%
Acnecide Wash 5% gel;1306010C0BUACAB;Gel;5%
Acnecide Wash 5% gel;1306010C0BUACAB;Gel;5.00%
Acriflex 0.25% cream;1310050J0BDAAAC;Cream;0%
Acriflex 0.25% cream;1310050J0BDAAAC;Cream;0.25%
Acti-Fast 2-way stretch stockinette 10.75cm;;STOCKINETTE;10.75CMX1
Acti-Fast 2-way stretch stockinette 10.75cm;;STOCKINETTE;10.75CMX3
Acti-Fast 2-way stretch stockinette 10.75cm;;STOCKINETTE;10.75CMX5
Acti-Fast 2-way stretch stockinette 10.75cm;;STOCKINETTE;10.75CMX1
Acti-Fast 2-way stretch stockinette 10.75cm;;STOCKINETTE;10.75CMX3
Acti-Fast 2-way stretch stockinette 10.75cm;;STOCKINETTE;10.75CMX5
Acti-Fast 2-way stretch stockinette 17.5cm;;STOCKINETTE;17.5CMX1M
Acti-Fast 2-way stretch stockinette 20cm;;STOCKINETTE;20CMX1M
Acti-Fast 2-way stretch stockinette 20cm;;STOCKINETTE;20CMX5CM
Acti-Fast 2-way stretch stockinette 20cm;;STOCKINETTE;20CMX5CM
Acti-Fast 2-way stretch stockinette 3.5cm;;STOCKINETTE;3.5CMX1M
Acti-Fast 2-way stretch stockinette 5cm;;STOCKINETTE;5CMX1M
Acti-Fast 2-way stretch stockinette 5cm;;STOCKINETTE;5CMX3M
Acti-Fast 2-way stretch stockinette 5cm;;STOCKINETTE;5CMX5CM
Acti-Fast 2-way stretch stockinette 5cm;;STOCKINETTE;5CMX1M
Acti-Fast 2-way stretch stockinette 5cm;;STOCKINETTE;5CMX5CM
Acti-Fast 2-way stretch stockinette 7.5cm;;STOCKINETTE;7.5CMX1M
Acti-Fast 2-way stretch stockinette 7.5cm;;STOCKINETTE;7.5CMX3M
Acti-Fast 2-way stretch stockinette 7.5cm;;STOCKINETTE;7.5CMX5M
Acti-Fast 2-way stretch stockinette 7.5cm;;STOCKINETTE;7.5CMX1M
Acti-Fast 2-way stretch stockinette 7.5cm;;STOCKINETTE;7.5CMX3M
Acti-Fast 2-way stretch stockinette 7.5cm;;STOCKINETTE;7.5CMX5M
Acti-Glide compression hosiery applicator;;APPLICATOR;
Acti-Glide compression hosiery applicator;;APPLICATOR;
Acti-Lance lancets 1.5mm/28gauge;;LANCET;1.5MM/28G
Acti-Lance lancets 1.8mm/23gauge;;LANCET;1.8MM/23G
Acti-Lance lancets 1.8mm/23gauge;;LANCET;1.8MM/23G
Acti-Lance lancets 2mm/17gauge;;LANCET;2.0MM/17G
Acti-Lance lancets 2mm/17gauge;;LANCET;2.0MM/17G
Acti-Wrap (cohesive/latex free) bandage 10cm x 4m;;BANDAGE;10CM X 4M
Acti-Wrap (cohesive/latex free) bandage 10cm x 4m;;BANDAGE;10CM X 4M
Acti-Wrap (cohesive/latex free) bandage 6cm x 4m;;BANDAGE;6CM X 4M
Acti-Wrap (cohesive/latex free) bandage 6cm x 4m;;BANDAGE;6CM X 4M
Acti-Wrap (cohesive/latex free) bandage 8cm x 4m;;BANDAGE;8CM X 4M
Acti-Wrap (cohesive/latex free) bandage 8cm x 4m;;BANDAGE;8CM X 4M
ActiFormCool sheet 10cm x 10cm square;;WOUND MAN DRESS;10CMX10CM
ActiFormCool sheet 10cm x 10cm square;;WOUND MAN DRESS;10CMX10CM
ActiFormCool sheet 10cm x 15cm rectangular;;WOUND MAN DRESS;10CMX15CM
ActiFormCool sheet 10cm x 15cm rectangular;;WOUND MAN DRESS;10CMX15CM
ActiFormCool sheet 20cm x 20cm square;;WOUND MAN DRESS;20CMX20CM
ActiFormCool sheet 20cm x 20cm square;;WOUND MAN DRESS;20CMX20CM
ActiFormCool sheet 5cm x 6.5cm rectangular;;WOUND MAN DRESS;5CMX6.5CM
ActiFormCool sheet 5cm x 6.5cm rectangular;;WOUND MAN DRESS;5CMX6.5CM
ActiLymph Hosiery Kit medical stocking and compression liner medium;;ULCER COMP SYS;M - XXL
ActiLymph Hosiery Kit medical stocking and compression liner medium;;ULCER COMP SYS;M - XXL
ActiLymph MTM Dura Slipform for lymphoedema garment;;Activa Healthcare Ltd;, ALO-FORM, Beige
ActiLymph MTM Dura Slipform for lymphoedema garment;;SLIP FORM;ALO-FORM
ActiLymph MTM Dura Slipform for lymphoedema garment;;Activa Healthcare Ltd;, ALO-FORM, Beige
ActiLymph MTM Dura T-Heel ankle seam for lymphoedema garment;;Activa Healthcare Ltd;, ALO-SEAM, Beige
ActiLymph MTM Dura T-Heel ankle seam for lymphoedema garment;;T HEEL ANK/SEAM;ALO-SEAM
ActiLymph MTM Dura T-Heel ankle seam for lymphoedema garment;;Activa Healthcare Ltd;, ALO-SEAM, Beige
ActiLymph MTM Dura class 2 (23-32mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 2 (23-32mmHg), , AL-DURAC2-AD, Beige
ActiLymph MTM Dura class 2 (23-32mmHg) below knee open toe lymphoedema garment;;BELOW KNEE A-D;AL-DURAC2
ActiLymph MTM Dura class 2 (23-32mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 2 (23-32mmHg), , AL-DURAC2-AD, Beige
ActiLymph MTM Dura class 2 (23-32mmHg) thigh length open toe lymphoedema garment;;THIGH LENGTH AG;AL-DURAC2
ActiLymph MTM Dura class 3 (34-46mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 3 (34-46mmHg), , AL-DURAC3-AD, Beige
ActiLymph MTM Dura class 3 (34-46mmHg) below knee open toe lymphoedema garment;;BELOW KNEE A-D;AL-DURAC3
ActiLymph MTM Dura class 3 (34-46mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 3 (34-46mmHg), , AL-DURAC3-AD, Beige
ActiLymph MTM Dura class 3 (34-46mmHg) cycle style pants lymphoedema garment;;2LEGGED PTY A-T;AL-DURAC3
ActiLymph MTM Dura class 3 (34-46mmHg) cycle style pants lymphoedema garment;;Activa Healthcare Ltd;Class 3 (34-46mmHg), , AL-DURAC3-AT, Beige
ActiLymph MTM Dura class 3 (34-46mmHg) thigh length open toe lymphoedema garment;;Activa Healthcare Ltd;Class 3 (34-46mmHg), , AL-DURAC3-AG, Beige
ActiLymph MTM Dura class 3 (34-46mmHg) thigh length open toe lymphoedema garment;;THIGH LENGTH AG;AL-DURAC3
ActiLymph MTM Dura class 3 (34-46mmHg) thigh length open toe lymphoedema garment;;Activa Healthcare Ltd;Class 3 (34-46mmHg), , AL-DURAC3-AG, Beige
ActiLymph MTM Dura closed toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-CT, Beige
ActiLymph MTM Dura closed toe for lymphoedema garment;;CLOSED TOE;ALO-CT
ActiLymph MTM Dura closed toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-CT, Beige
ActiLymph MTM Dura full compression body part for lymphoedema garment;;Activa Healthcare Ltd;, ALO-FCBODY, Beige
ActiLymph MTM Dura full compression body part for lymphoedema garment;;FULL COMP B/P;ALO-FCBOD
ActiLymph MTM Dura oblique toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-OBT, Beige
ActiLymph MTM Dura oblique toe for lymphoedema garment;;OBLIQUE TOE;ALO-OBT
ActiLymph MTM Dura oblique toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-OBT, Beige
ActiLymph MTM Dura silicone band for lymphoedema garment lower extremities;;Activa Healthcare Ltd;lower extremities , ALO-BAND, Beige
ActiLymph MTM Dura silicone band for lymphoedema garment lower extremities;;SILICONE BAND;ALO-BAND
ActiLymph MTM Dura silicone band for lymphoedema garment lower extremities;;Activa Healthcare Ltd;lower extremities , ALO-BAND, Beige
ActiLymph MTM Ease Slipform for lymphoedema garment;;Activa Healthcare Ltd;, ALO-FORM, Beige
ActiLymph MTM Ease Slipform for lymphoedema garment;;SLIP FORM;ALO-FORM
ActiLymph MTM Ease T-Heel ankle seam for lymphoedema garment;;Activa Healthcare Ltd;, ALO-SEAM, Beige
ActiLymph MTM Ease T-Heel ankle seam for lymphoedema garment;;T HEEL ANK/SEAM;ALO-SEAM
ActiLymph MTM Ease T-Heel ankle seam for lymphoedema garment;;Activa Healthcare Ltd;, ALO-SEAM, Beige
ActiLymph MTM Ease class 1 (18-21mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 1 (18-21mmHg), , AL-EASEC1-AD, Beige
ActiLymph MTM Ease class 1 (18-21mmHg) below knee open toe lymphoedema garment;;BELOW KNEE A-D;AL-EASEC1
ActiLymph MTM Ease class 1 (18-21mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 1 (18-21mmHg), , AL-EASEC1-AD, Beige
ActiLymph MTM Ease class 1 (18-21mmHg) cycle style pants lymphoedema garment;;2LEGGED PTY A-T;AL-EASEC1
ActiLymph MTM Ease class 1 (18-21mmHg) cycle style pants lymphoedema garment;;Activa Healthcare Ltd;Class 1 (18-21mmHg), , AL-EASEC1-AT, Beige
ActiLymph MTM Ease class 1 (18-21mmHg) thigh length open toe lymphoedema garment;;Activa Healthcare Ltd;Class 1 (18-21mmHg), , AL-EASEC1-AG, Beige
ActiLymph MTM Ease class 1 (18-21mmHg) thigh length open toe lymphoedema garment;;THIGH LENGTH AG;AL-EASEC1
ActiLymph MTM Ease class 1 (18-21mmHg) thigh length open toe with waist attachment lymphoedema garment;;Activa Healthcare Ltd;Class 1 (18-21mmHg), , AL-EASEC1-AGT, Beige
ActiLymph MTM Ease class 1 (18-21mmHg) thigh length open toe with waist attachment lymphoedema garment;;THIGH+W/A A-GT;ALEASEC1-
ActiLymph MTM Ease class 2 (23-32mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 2 (23-32mmHg), , AL-EASEC2-AD, Beige
ActiLymph MTM Ease class 2 (23-32mmHg) below knee open toe lymphoedema garment;;BELOW KNEE A-D;AL-EASEC2
ActiLymph MTM Ease class 2 (23-32mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 2 (23-32mmHg), , AL-EASEC2-AD, Beige
ActiLymph MTM Ease class 2 (23-32mmHg) cycle style pants lymphoedema garment;;2LEGGED PTY A-T;AL-EASEC2
ActiLymph MTM Ease class 2 (23-32mmHg) cycle style pants lymphoedema garment;;Activa Healthcare Ltd;Class 2 (23-32mmHg), , AL-EASEC2-AT, Beige
ActiLymph MTM Ease class 2 (23-32mmHg) thigh length open toe lymphoedema garment;;Activa Healthcare Ltd;Class 2 (23-32mmHg), , AL-EASEC2-AG, Beige
ActiLymph MTM Ease class 2 (23-32mmHg) thigh length open toe lymphoedema garment;;THIGH LENGTH AG;AL-EASEC2
ActiLymph MTM Ease class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment;;Activa Healthcare Ltd;Class 2 (23-32mmHg), , AL-EASEC2-AGT, Beige
ActiLymph MTM Ease class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment;;THIGH+W/A A-GT;AL-EASEC2
ActiLymph MTM Ease class 3 (34-46mmHg) below knee open toe lymphoedema garment;;BELOW KNEE A-D;AL-EASEC3
ActiLymph MTM Ease class 3 (34-46mmHg) below knee open toe lymphoedema garment;;Activa Healthcare Ltd;Class 3 (34-46mmHg), , AL-EASEC3-AD, Beige
ActiLymph MTM Ease class 3 (34-46mmHg) cycle style pants lymphoedema garment;;2LEGGED PTY A-T;AL-EASEC3
ActiLymph MTM Ease class 3 (34-46mmHg) cycle style pants lymphoedema garment;;Activa Healthcare Ltd;Class 3 (34-46mmHg), , AL-EASEC3-AT, Beige
ActiLymph MTM Ease closed toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-CT, Beige
ActiLymph MTM Ease closed toe for lymphoedema garment;;CLOSED TOE;ALO-CT
ActiLymph MTM Ease closed toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-CT, Beige
ActiLymph MTM Ease full compression body part for lymphoedema garment;;Activa Healthcare Ltd;, ALO-FCBODY, Beige
ActiLymph MTM Ease full compression body part for lymphoedema garment;;FULL COMP B/P;ALO-FCBOD
ActiLymph MTM Ease oblique toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-OBT, Beige
ActiLymph MTM Ease oblique toe for lymphoedema garment;;OBLIQUE TOE;ALO-OBT
ActiLymph MTM Ease oblique toe for lymphoedema garment;;Activa Healthcare Ltd;, ALO-OBT, Beige
ActiLymph MTM Ease silicone band for lymphoedema garment lower extremities;;Activa Healthcare Ltd;lower extremities , ALO-BAND, Beige
ActiLymph MTM Ease silicone band for lymphoedema garment lower extremities;;SILICONE BAND;ALO-BAND
ActiLymph MTM Ease silicone band for lymphoedema garment lower extremities;;Activa Healthcare Ltd;lower extremities , ALO-BAND, Beige
ActiLymph class 1 (18-21mmHg) armsleeve lymphoedema garment standard extra large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard extra large, Sand
ActiLymph class 1 (18-21mmHg) armsleeve lymphoedema garment standard large;;A/SLEEV NO T/B;S,M,L,XL
ActiLymph class 1 (18-21mmHg) armsleeve lymphoedema garment standard large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard large , Sand
ActiLymph class 1 (18-21mmHg) armsleeve lymphoedema garment standard large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard large , Sand
ActiLymph class 1 (18-21mmHg) armsleeve lymphoedema garment standard medium;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard medium, Sand
ActiLymph class 1 (18-21mmHg) armsleeve lymphoedema garment standard medium;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard medium, Sand
ActiLymph class 1 (18-21mmHg) armsleeve lymphoedema garment standard small;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard small, Sand
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment long extra large;;A/SLEEV+ T/BAND;S,M,L,XL
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment long extra large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), long extra large , Sand
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment long large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), long large, Sand
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment long medium;;Activa Healthcare Ltd;Class 1 (18-21mmHg), long medium, Sand
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment standard large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard large, Sand
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment standard medium;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard medium, Sand
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment standard small;;A/SLEEV +T/BAND;S,M,L,XL
ActiLymph class 1 (18-21mmHg) armsleeve with top band lymphoedema garment standard small;;Activa Healthcare Ltd;Class 1 (18-21mmHg), standard small , Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite extra large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), petite extra large, Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite extra large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), petite extra large, Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), petite large, Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite large;;Activa Healthcare Ltd;Class 1 (18-21mmHg), petite large, Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite medium;;Activa Healthcare Ltd;Class 1 (18-21mmHg), petite medium, Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite medium;;Activa Healthcare Ltd;Class 1 (18-21mmHg), petite medium, Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite small;;Activa Healthcare Ltd;Class 1 (18-21mmHg), petite small , Sand
ActiLymph class 1 (18-21mmHg) below knee closed toe lymphoedema garment petite small;;B/K C/T;S,M,L,XL
